Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-09,oscar 2022,,https://boxd.it/fIYkO,seja o que deus quiser

Position,Name,Year,URL,Description
1,Don't Look Up,2021,https://boxd.it/o0Hc,
2,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
3,Free Guy,2021,https://boxd.it/k8dm,
4,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
5,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
6,Luca,2021,https://boxd.it/ipjC,
7,Cruella,2021,https://boxd.it/bbKg,
8,Being the Ricardos,2021,https://boxd.it/iJQc,
9,West Side Story,2021,https://boxd.it/iwt0,
10,Encanto,2021,https://boxd.it/kPRu,
11,Dune,2021,https://boxd.it/fA7G,
12,No Time to Die,2021,https://boxd.it/cPX2,
13,House of Gucci,2021,https://boxd.it/nVkC,
