Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-21,Um site ruim me recomendou,,https://boxd.it/jFgKI,

Position,Name,Year,URL,Description
1,Whiplash,2014,https://boxd.it/7bQA,
2,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
3,Seven Samurai,1954,https://boxd.it/2axi,
4,It Happened One Night,1934,https://boxd.it/25Ng,
5,Taxi Driver,1976,https://boxd.it/2b8y,
6,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
7,Children of Men,2006,https://boxd.it/1Y2i,
8,Moneyball,2011,https://boxd.it/glS,
9,Inglourious Basterds,2009,https://boxd.it/1JzG,
10,The Pianist,2002,https://boxd.it/2aqc,
11,Pather Panchali,1955,https://boxd.it/22yC,
12,Gravity,2013,https://boxd.it/GZY,
13,Blow Out,1981,https://boxd.it/1TlE,
14,Burn After Reading,2008,https://boxd.it/23BW,
15,Pan's Labyrinth,2006,https://boxd.it/28No,
16,Manhunter,1986,https://boxd.it/1TOw,
17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
18,Big Little Lies,2017,https://boxd.it/fYde,
19,"Monsters, Inc.",2001,https://boxd.it/2a46,
20,Rear Window,1954,https://boxd.it/2a6Q,
21,The Guest,2014,https://boxd.it/76RS,
22,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
23,Pride & Prejudice,2005,https://boxd.it/24u8,
24,The 400 Blows,1959,https://boxd.it/2b1C,
25,Short Term 12,2013,https://boxd.it/5f6s,
26,La Haine,1995,https://boxd.it/2as8,
27,Ikiru,1952,https://boxd.it/251c,
28,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy,
29,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
30,Nightcrawler,2014,https://boxd.it/780m,
31,Titanic,1997,https://boxd.it/2a2k,
32,Climax,2018,https://boxd.it/ikvo,
33,Come and See,1985,https://boxd.it/1w9q,
34,Cinema Paradiso,1988,https://boxd.it/1UlA,
35,Elevator to the Gallows,1958,https://boxd.it/294u,
36,Koyaanisqatsi,1982,https://boxd.it/1U9E,
37,Spirited Away,2001,https://boxd.it/2b4m,
38,The Hitcher,1986,https://boxd.it/1Yq0,
39,Ran,1985,https://boxd.it/1Tlu,
40,"Paris, Texas",1984,https://boxd.it/29Ts,
41,Broadcast News,1987,https://boxd.it/1RxS,
42,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,
43,Saving Private Ryan,1998,https://boxd.it/29ro,
44,Lawrence of Arabia,1962,https://boxd.it/2wRE,
45,Anomalisa,2015,https://boxd.it/97TE,
46,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
47,Stand by Me,1986,https://boxd.it/2aOe,
48,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
49,Interstellar,2014,https://boxd.it/4VZ8,
50,Breaking the Waves,1996,https://boxd.it/2b1W,
