Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-17,Dead Poets Society,1989,https://boxd.it/1fLxJv,4.5,,,2020-07-16
2020-07-17,Before Sunrise,1995,https://boxd.it/1fMqmB,5,,,2020-07-16
2020-07-21,Mamma Mia! Here We Go Again,2018,https://boxd.it/1gag8R,5,,,2020-07-19
2020-07-21,Watchmen,2009,https://boxd.it/1gahgH,5,,,2020-07-20
2020-07-26,The Wolf of Wall Street,2013,https://boxd.it/1gHlIV,4,,,2020-07-25
2020-11-25,The New Mutants,2020,https://boxd.it/1txsx3,1,,,2020-11-24
2020-11-25,A Star Is Born,2018,https://boxd.it/1txuB7,3,,,2020-11-24
2020-12-07,Tenet,2020,https://boxd.it/1uXVqr,1.5,,,2020-12-06
2020-12-21,The Devil All the Time,2020,https://boxd.it/1wrC3n,0.5,,,2020-12-20
2020-12-25,Peninsula,2020,https://boxd.it/1wZHHZ,5,,,2020-12-24
2020-12-25,How It Ends,2018,https://boxd.it/1x0Sfz,0.5,,,2020-12-24
2020-12-25,Forgotten,2017,https://boxd.it/1x296h,5,,,2020-12-24
2020-12-26,Nocturne,2020,https://boxd.it/1x964h,3.5,,,2020-12-25
2020-12-27,What Happened to Monday,2017,https://boxd.it/1xhnf3,3,,,2020-12-25
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/1xnNdJ,2.5,,,2020-12-26
2021-01-03,Toy Story 4,2019,https://boxd.it/1yAue9,5,,,2021-01-02
2021-01-04,Ready Player One,2018,https://boxd.it/1yUFvb,0.5,,,2021-01-03
2021-01-08,Can You Keep a Secret?,2019,https://boxd.it/1zsDCR,1.5,,,2021-01-07
2021-01-08,Love and Monsters,2020,https://boxd.it/1ztZvP,4.5,,,2021-01-07
2021-01-11,La La Land,2016,https://boxd.it/1zWfyB,5,,,2021-01-10
2021-01-11,We Can Be Heroes,2020,https://boxd.it/1zWd11,5,,,2021-01-11
2021-01-25,Last Christmas,2019,https://boxd.it/1C82Pr,5,Yes,,2021-01-24
2021-01-25,Emma.,2020,https://boxd.it/1Cb7Cj,2.5,,,2021-01-24
2021-01-26,Midsommar,2019,https://boxd.it/1CeMhd,1.5,,,2021-01-25
2021-07-20,Mortal Kombat,2021,https://boxd.it/20rXr1,5,,,2021-07-01
2021-07-12,The Tomorrow War,2021,https://boxd.it/1Zhh6r,3,,,2021-07-03
2021-07-12,Luca,2021,https://boxd.it/1Zhi2F,3.5,,,2021-07-09
2021-07-12,Cruella,2021,https://boxd.it/1ZeXh1,5,,,2021-07-10
2021-07-12,Saw,2004,https://boxd.it/1ZeYbt,5,,,2021-07-11
2021-07-12,Saw II,2005,https://boxd.it/1ZfXu7,2,,,2021-07-11
2021-07-12,Saw III,2006,https://boxd.it/1Zhfsb,2.5,,,2021-07-11
2021-07-12,Saw IV,2007,https://boxd.it/1ZhDSn,4,,,2021-07-11
2021-07-12,Saw V,2008,https://boxd.it/1ZisQx,2.5,,,2021-07-11
2021-07-13,Lemonade Mouth,2011,https://boxd.it/1Zo1EL,2.5,,,2021-07-12
2021-07-18,Black Widow,2021,https://boxd.it/205UGj,5,,,2021-07-15
2021-07-20,Frankenstein vs. The Mummy,2015,https://boxd.it/20rxCn,0.5,,,2021-07-16
2021-07-20,Don't Hang Up,2016,https://boxd.it/20s0Df,0.5,,,2021-07-19
2021-07-20,The Map of Tiny Perfect Things,2021,https://boxd.it/20sN5B,4.5,,,2021-07-19
2021-07-26,Follow Me,2020,https://boxd.it/21m6xp,0.5,,,2021-07-25
2021-07-28,Jolt,2021,https://boxd.it/21DWwd,4.5,,,2021-07-27
2021-07-29,Serial (Bad) Weddings,2014,https://boxd.it/21MqDz,3.5,Yes,,2021-07-28
2021-08-02,4x100: Running for a Dream,2021,https://boxd.it/22pwXD,5,,,2021-08-01
2021-08-12,Fear Street: 1994,2021,https://boxd.it/23Vovf,5,,,2021-08-04
2021-08-11,The Suicide Squad,2021,https://boxd.it/23HPdJ,4.5,,,2021-08-10
2021-08-12,Fear Street: 1978,2021,https://boxd.it/23VoJL,4,,,2021-08-11
2021-08-30,Fear Street: 1666,2021,https://boxd.it/26oI7t,5,,,2021-08-18
