Date,Name,Year,Letterboxd URI
2020-07-17,Parasite,2019,https://boxd.it/hTha
2020-07-17,Knives Out,2019,https://boxd.it/jWEA
2020-07-17,The Dark Knight,2008,https://boxd.it/2b0k
2020-07-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2020-07-17,Coco,2017,https://boxd.it/bYJQ
2020-07-17,Us,2019,https://boxd.it/gnV6
2020-07-17,Before Sunrise,1995,https://boxd.it/2bcU
2020-11-25,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-11-25,Heathers,1989,https://boxd.it/26x4
2020-11-27,Lady Bird,2017,https://boxd.it/dGNE
2020-11-27,The Queen's Gambit,2020,https://boxd.it/s1Ym
2020-12-08,Incredibles 2,2018,https://boxd.it/7IPg
2020-12-08,The Incredibles,2004,https://boxd.it/1XLm
2020-12-08,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2020-12-29,Signs,2002,https://boxd.it/26t2
2021-01-11,La La Land,2016,https://boxd.it/a5fa
2021-01-16,Miss Congeniality,2000,https://boxd.it/28GM
2021-01-20,Little Women,2019,https://boxd.it/aSVk
2021-01-25,Last Christmas,2019,https://boxd.it/k38G
2021-07-12,Cruella,2021,https://boxd.it/bbKg
2021-07-20,The Map of Tiny Perfect Things,2021,https://boxd.it/p3O8
2021-08-02,4x100: Running for a Dream,2021,https://boxd.it/vCOu
2021-08-21,Saw 3D,2010,https://boxd.it/Znk
2021-08-30,Fear Street: 1666,2021,https://boxd.it/lLBE
2021-11-03,A Simple Favor,2018,https://boxd.it/hq92
2021-11-15,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-30,"tick, tick...BOOM!",2021,https://boxd.it/jz2e
2021-12-31,Scream,1996,https://boxd.it/24EC
2022-01-17,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw
2022-01-23,Scream,2022,https://boxd.it/o0lg
2022-03-09,Encanto,2021,https://boxd.it/kPRu
2022-03-14,Sing 2,2021,https://boxd.it/fAnE
2022-03-18,Push,2009,https://boxd.it/1Q8W
2022-03-21,Monica and Friends: Lessons,2021,https://boxd.it/oFi8
2022-04-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2022-10-16,Nope,2022,https://boxd.it/sDCe
2023-03-14,Scream VI,2023,https://boxd.it/zdfW
2023-04-30,The Devil's Hour,2022,https://boxd.it/DxFS
2023-06-17,Legally Blonde,2001,https://boxd.it/1ZNa
2023-06-19,A Man Called Otto,2022,https://boxd.it/zl06
2023-07-21,Barbie,2023,https://boxd.it/bCLK
2023-08-04,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2023-09-10,Normal People,2020,https://boxd.it/q2VY
2023-09-15,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2023-09-23,Bottoms,2023,https://boxd.it/uGf2
2023-09-24,D.E.B.S.,2004,https://boxd.it/2aaS
