Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-12-21,Bingo - 8%,,https://boxd.it/jFgSM,

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
3,In the Mood for Love,2000,https://boxd.it/29tE,
4,Shaun of the Dead,2004,https://boxd.it/29J8,
5,Come and See,1985,https://boxd.it/1w9q,
6,The Godfather,1972,https://boxd.it/2aNK,
7,"Synecdoche, New York",2008,https://boxd.it/23zw,
8,Waves,2019,https://boxd.it/jpmy,
9,Wings of Desire,1987,https://boxd.it/2b26,
10,All About Eve,1950,https://boxd.it/29LI,
11,Mandy,2018,https://boxd.it/gtti,
12,Amélie,2001,https://boxd.it/2aUc,
13,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
14,White Chicks,2004,https://boxd.it/1SpK,
15,The Great Escape,1963,https://boxd.it/22kA,
16,The Killer,1989,https://boxd.it/1Vha,
17,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,
18,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
19,Seven Samurai,1954,https://boxd.it/2axi,
20,The Seventh Seal,1957,https://boxd.it/2ahO,
21,Tokyo Godfathers,2003,https://boxd.it/1Qg2,
22,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,
23,The Shawshank Redemption,1994,https://boxd.it/2aHi,
24,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
25,Nights of Cabiria,1957,https://boxd.it/1F7e,
26,You Were Never Really Here,2017,https://boxd.it/dWOS,
27,Memories of Murder,2003,https://boxd.it/1TSo,
28,Poetry,2010,https://boxd.it/JAs,
29,The Father,2020,https://boxd.it/m8Ie,
30,Se7en,1995,https://boxd.it/29zs,
31,Dial M for Murder,1954,https://boxd.it/2adW,
32,The Swimmer,1968,https://boxd.it/1ffG,
33,Barry Lyndon,1975,https://boxd.it/25A2,
34,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,
35,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,
36,Los Angeles Plays Itself,2003,https://boxd.it/15xq,
37,The Lives of Others,2006,https://boxd.it/2a4A,
38,The Texas Chainsaw Massacre 2,1986,https://boxd.it/1Kk8,
39,Blindspotting,2018,https://boxd.it/hDMw,
40,The Devil's Rejects,2005,https://boxd.it/28hC,
41,Strangers on a Train,1951,https://boxd.it/29tk,
42,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
43,The Descent,2005,https://boxd.it/1YNy,
44,The Thin Red Line,1998,https://boxd.it/1ZTM,
45,The Nice Guys,2016,https://boxd.it/94Hg,
46,A Matter of Life and Death,1946,https://boxd.it/1q6K,
47,Intolerance: Love's Struggle Throughout the Ages,1916,https://boxd.it/25Qk,
48,Fallen Angels,1995,https://boxd.it/1UkW,
49,The Gold Rush,1925,https://boxd.it/29ce,
50,The Diving Bell and the Butterfly,2007,https://boxd.it/27Di,
