Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-26,the falling in love montage,,https://boxd.it/exbjw,

Position,Name,Year,URL,Description
1,Never Been Kissed,1999,https://boxd.it/1U3c,
2,"Love, Simon",2018,https://boxd.it/g02s,
3,Say Anything...,1989,https://boxd.it/27B2,
4,Imagine Me & You,2005,https://boxd.it/28E2,
5,My Best Friend's Wedding,1997,https://boxd.it/1ZHm,
6,(500) Days of Summer,2009,https://boxd.it/1EmM,
7,13 Going on 30,2004,https://boxd.it/1X6e,
8,Easter Parade,1948,https://boxd.it/1nCe,
9,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,
10,Notting Hill,1999,https://boxd.it/2aeK,
11,Four Weddings and a Funeral,1994,https://boxd.it/29KA,
12,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,
13,The Proposal,2009,https://boxd.it/1HiS,
14,10 Things I Hate About You,1999,https://boxd.it/23AO,
15,The Truth About Cats & Dogs,1996,https://boxd.it/1ZIE,
16,Pillow Talk,1959,https://boxd.it/23AE,
17,Pillow Talk,2017,https://boxd.it/k9GY,
18,The Gay Divorcee,1934,https://boxd.it/2lio,
19,When Harry Met Sally...,1989,https://boxd.it/29W2,
20,Love Actually,2003,https://boxd.it/2aeU,
