Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-07-17,Guardians of the Galaxy,2014,https://boxd.it/1fLvf9,4,,"5 pela trilha sonora
menos ½ pelo vin diesel

update: menos ½ pelo chris pratt tbm",,
2020-07-17,Dead Poets Society,1989,https://boxd.it/1fLxJv,4.5,,o filme acaba em 01:38:00.,,2020-07-16
2020-07-17,Before Sunrise,1995,https://boxd.it/1fMqmB,5,,muito bom o filme saí com depressão,,2020-07-16
2020-07-21,Mamma Mia! Here We Go Again,2018,https://boxd.it/1gag8R,5,,amém cher 😔🙏,,2020-07-19
2020-07-21,Watchmen,2009,https://boxd.it/1gahgH,5,,como que alguém luta com aquela roupa entrando no uc?,,2020-07-20
2020-07-26,The Wolf of Wall Street,2013,https://boxd.it/1gHlIV,4,,se tirar as drogas o filme dura 1 hora,,2020-07-25
2020-11-25,The New Mutants,2020,https://boxd.it/1txsx3,1,,a estrela é pela anya taylor joy sendo linda e gostosa,,2020-11-24
2020-11-25,A Star Is Born,2018,https://boxd.it/1txuB7,3,,bradley cooper gostoso e fedido,,2020-11-24
2020-11-25,Heathers,1989,https://boxd.it/1txvpV,5,,riverdale tentou........,,
2020-11-25,Twilight,2008,https://boxd.it/1txvXt,5,,"o filtro azul terrível
as atuações fracas
a maquiagem podre
diálogo triste
trilha sonora impecável 😔🙏",,
2020-11-25,Happy Death Day,2017,https://boxd.it/1txwf3,5,,o filme é uma farofa da mais vagabunda que existe mas se jessica rothe faz eu assisto,,
2020-11-25,The Great Gatsby,2013,https://boxd.it/1txwvb,4,,sim eu só assisti por causa da música da lana del rey,,
2020-11-25,Suicide Squad,2016,https://boxd.it/1txwMh,2,,ruim pra caralho só a trilha sonora salva,,
2020-11-25,Scott Pilgrim vs. the World,2010,https://boxd.it/1txwSp,5,,ART.,,
2020-11-25,To All the Boys I've Loved Before,2018,https://boxd.it/1txx5t,4,,oh lara condor lindíssima,,
2020-11-25,(500) Days of Summer,2009,https://boxd.it/1txxAV,2,,cara se manca?????,,
2020-11-25,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1txy47,5,,obra de arte cinematográfica,,
2020-11-25,Push,2009,https://boxd.it/1txykJ,5,,fui descobrir esses dias que a mary elizabeth winstead não tava nesse filme,,
2020-11-25,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/1txytV,5,,"tem tudo pra ser uma merda
e realmente é mas eu adoro",,
2020-11-25,Mirror Mirror,2012,https://boxd.it/1txyOJ,5,,horrível!!!!,,
2020-11-25,The Witch,2015,https://boxd.it/1txyZ3,4,,eu achei muito ruim mas tem a anya taylor joy,,
2020-11-25,Wild Child,2008,https://boxd.it/1txz6D,5,,muito ruim,,
2020-11-25,Host,2020,https://boxd.it/1txzqX,5,,5 estrelas por terem respeitado o distanciamento,,
2020-11-25,Beastly,2011,https://boxd.it/1txzId,4,,até feio ele é gostoso,,
2020-11-25,The Book of Henry,2017,https://boxd.it/1txzVB,5,,desidratei,,
2020-11-25,Megan Is Missing,2011,https://boxd.it/1tyWDR,1,,bleh,,
2020-11-26,The Invisible Man,2020,https://boxd.it/1tFdDh,5,,elisabeth moss faz tudo,,
2020-11-26,ParaNorman,2012,https://boxd.it/1tFfvz,5,,quem da menos de 5 estrelas ta morto por dentro,,
2020-11-27,Justice League,2017,https://boxd.it/1tIEk3,0.5,,infelizmente paguei pra ver esse lixo,,
2020-11-27,Lady Bird,2017,https://boxd.it/1tIEvP,5,,me identifiquei e não gostei,,
2020-12-07,Tenet,2020,https://boxd.it/1uXVqr,1.5,,vai tomar no cu nolan!!!!,,2020-12-06
2020-12-08,The Dark Knight Rises,2012,https://boxd.it/1v0JML,2.5,,te amo anne hathaway,,
2020-12-08,Red Riding Hood,2011,https://boxd.it/1v0KO9,4.5,,muito ruim,,
2020-12-08,The Maze Runner,2014,https://boxd.it/1v0RfF,5,,bonzinho,,
2020-12-08,Maze Runner: The Scorch Trials,2015,https://boxd.it/1v0Riz,4.5,,não tão bom,,
2020-12-08,Maze Runner: The Death Cure,2018,https://boxd.it/1v0RrL,1.5,,vsf já tavam mudando o enredo do livro todo que que custava deixar o newt vivo???????,,
2020-12-08,The Turning,2020,https://boxd.it/1v0RNR,0.5,,"o começo tava normal, o meio terrível e o final parecia o meio
literalmente",,
2020-12-08,Terminator: Dark Fate,2019,https://boxd.it/1v0S4D,3,,não é que seja ruim mas tbm não é bom a dani é uma chata!!!,,
2020-12-08,Jumper,2008,https://boxd.it/1v0SHb,5,,em que planeta as versões mais novas deles convencem como versão mais nova ☠️,,
2020-12-08,Bridge to Terabithia,2007,https://boxd.it/1v0SQ3,0.5,,cadê o conselho tutelar,,
2020-12-08,Goosebumps,2015,https://boxd.it/1v0TAF,4,,muito boa essa farofa,,
2020-12-08,Goosebumps 2: Haunted Halloween,2018,https://boxd.it/1v0TFF,0.5,,o primeiro já não era essas coisas ai vem o segundo e caga tudo,,
2020-12-08,Incredibles 2,2018,https://boxd.it/1v0Und,5,,14 anos pra isso.......,,
2020-12-08,Miss Peregrine's Home for Peculiar Children,2016,https://boxd.it/1v0UIl,0.5,,asa pq vc faz isso com vc msm???,,
2020-12-08,Bumblebee,2018,https://boxd.it/1v0UZh,5,,ruinzinho,,
2020-12-08,Ender's Game,2013,https://boxd.it/1v0V6n,0.5,,pelo amor de deus asa!!!!!,,
2020-12-08,After We Collided,2020,https://boxd.it/1v3VNn,0.5,,o segundo conseguiu estragar o estragado,,
2020-12-08,Maleficent: Mistress of Evil,2019,https://boxd.it/1v3WsF,5,,o outro príncipe era mais gostoso,,
2020-12-08,After,2019,https://boxd.it/1v3Xlv,1,,muito bom,,
2020-12-08,Sierra Burgess Is a Loser,2018,https://boxd.it/1v3Ynn,,,depois desse filme bebi 500ml de cloro,,
2020-12-08,The Kissing Booth,2018,https://boxd.it/1v3YRH,0.5,,ruim dms,,
2020-12-08,Truth or Dare,2018,https://boxd.it/1v3ZGF,1,,ai sei lá sabe,,
2020-12-08,I Am Legend,2007,https://boxd.it/1v4h1l,0.5,,"matou o cachorro, perdeu a credibilidade",,
2020-12-12,Hansel & Gretel: Witch Hunters,2013,https://boxd.it/1vsJjF,1,,muito bom,,
2020-12-12,Spy,2015,https://boxd.it/1vsM57,1.5,,perfeito,,
2020-12-21,The Devil All the Time,2020,https://boxd.it/1wrC3n,0.5,,nisso que da gastar o orçamento todo no elenco,,2020-12-20
2020-12-25,Peninsula,2020,https://boxd.it/1wZHHZ,5,,nasci pra ver uma criança jantar o Toretto,,2020-12-24
2020-12-25,How It Ends,2018,https://boxd.it/1x0Sfz,0.5,,"theo james gostoso e burro 
gente se matando por um galão de gasolina
uma mecânica que literalmente cai no mato

se quiser acabar com os eua é só apagar a luz que eles já fazem o trabalho por vc!",,2020-12-24
2020-12-25,Forgotten,2017,https://boxd.it/1x296h,5,,se não gostou o problema ta em vc não no filme!!!,,2020-12-24
2020-12-26,Nocturne,2020,https://boxd.it/1x964h,3.5,,sei lá não é ruim,,2020-12-25
2020-12-27,What Happened to Monday,2017,https://boxd.it/1xhnf3,3,,cosima de orphan black andou pra sexta correr,,2020-12-25
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/1xnNdJ,2.5,,"dora the explorer's voice: repeat after me ""i renounce my wish""",,2020-12-26
2020-12-29,The Visit,2015,https://boxd.it/1xLKQL,2.5,,tem que acionar o estatuto do idoso,,
2021-01-03,Toy Story 4,2019,https://boxd.it/1yAue9,5,,a jornada do auto conhecimento de um garfo,,2021-01-02
2021-01-04,Ready Player One,2018,https://boxd.it/1yUFvb,0.5,,eu vo cagar na cabeça de quem achou que isso era uma adaptação boa,,2021-01-03
2021-01-08,Can You Keep a Secret?,2019,https://boxd.it/1zsDCR,1.5,,a coitada passou 1/3 do filme chorando,,2021-01-07
2021-01-11,We Can Be Heroes,2020,https://boxd.it/1zWd11,5,,"efeitos terríveis, crianças irritantes e os diálogos...............
amei",,2021-01-11
2021-01-20,Little Women,2019,https://boxd.it/1BoCrD,5,,se eu me identificar com outra personagem da saoirse eu me m,,
2021-01-25,Emma.,2020,https://boxd.it/1Cb7Cj,2.5,,"eu amo o povo!
nos bastidores: odeio pobre.",,2021-01-24
2021-01-26,Midsommar,2019,https://boxd.it/1CeMhd,1.5,,vontade de pular do penhasco,,2021-01-25
2021-07-12,Cruella,2021,https://boxd.it/1ZeXh1,5,,eu te amo emma stone!!!,,2021-07-10
2021-07-12,Saw,2004,https://boxd.it/1ZeYbt,5,,absurdo ninguém pensar em dar um peteleco na única pessoa sem corrente,,2021-07-11
2021-07-12,Saw II,2005,https://boxd.it/1ZfXu7,2,,levar duas horas pra olhar um cangote vsf,,2021-07-11
2021-07-12,Saw IV,2007,https://boxd.it/1ZhDSn,4,,como pode o filme explicar tudo e eu não entender nada,,2021-07-11
2021-07-12,Saw V,2008,https://boxd.it/1ZisQx,2.5,,sinceramente........,,2021-07-11
2021-07-13,Lemonade Mouth,2011,https://boxd.it/1Zo1EL,2.5,,clube dos cinco se trocasse a maconha pela música,,2021-07-12
2021-07-18,Black Widow,2021,https://boxd.it/205UGj,5,,economizou nos efeitos deste pra ter dinheiro e comprar as indicações no emmy da bonita,,2021-07-15
2021-07-20,Frankenstein vs. The Mummy,2015,https://boxd.it/20rxCn,0.5,,eu gastei meu dedo escolhendo isso pra assistir.,,2021-07-16
2021-07-20,Mortal Kombat,2021,https://boxd.it/20rXr1,5,,que bomba,,2021-07-01
2021-07-20,Don't Hang Up,2016,https://boxd.it/20s0Df,0.5,,não sei quem sofreu mais os personagens ou eu assistindo essa merda,,2021-07-19
2021-07-26,Follow Me,2020,https://boxd.it/21m6xp,0.5,,que bando de gente otária,,2021-07-25
2021-07-28,Jolt,2021,https://boxd.it/21DWwd,4.5,,a mulher tacou dois bebês pra cima e ficou por isso msm,,2021-07-27
2021-08-02,4x100: Running for a Dream,2021,https://boxd.it/22pwXD,5,,i'm from maricá rio de janeiro,,2021-08-01
2021-08-11,The Suicide Squad,2021,https://boxd.it/23HPdJ,4.5,,olha que bonitinho o tubarão sorrindo,,2021-08-10
2021-08-12,Fear Street: 1978,2021,https://boxd.it/23VoJL,4,,bruxa desgraçada não mexe com a criança que pela criança eu do minha vida,,2021-08-11
2021-08-21,Saw 3D,2010,https://boxd.it/257KdZ,2,,a jill merecia mais,,2021-08-20
2021-08-21,Jigsaw,2017,https://boxd.it/258wmF,0.5,,nem fudendo que eu ia fazer mandíbula com cronômetro podendo fazer aquele liquidificador IMENSO,,2021-08-20
2021-08-22,Spiral: From the Book of Saw,2021,https://boxd.it/25dgaX,0.5,,conseguiu ser pior que jigsaw e olha que essa era uma tarefa complicada,,2021-08-21
2021-08-22,Infinite,2021,https://boxd.it/25eoY9,1.5,,mark wahlberg com uma cara de quem não queria ta ali estragou toda a experiência,,2021-08-21
2021-08-29,Circle,2015,https://boxd.it/26dPJH,1.5,,não entendi bosta nenhuma e não tenho vergonha de admitir,,2021-08-28
2021-08-31,Cube,1997,https://boxd.it/26ybsD,4,,o poder do ensino superior,,2021-08-30
2021-08-31,Cube 2: Hypercube,2002,https://boxd.it/26yOev,0.5,,esperar uma semana pra ver o próximo pq não to pronta pra enfiarem mais física no meu cérebro,,2021-08-30
2021-09-01,Cube Zero,2004,https://boxd.it/26InMl,1.5,,"ruim se comparado ao primeiro
ótimo se comparado ao segundo
péssimo sozinho",,2021-08-31
2021-09-04,Cinderella,2021,https://boxd.it/27aLkh,0.5,,parece que durou umas 4 horas de tão ruim,,2021-09-03
2021-09-04,Z,2019,https://boxd.it/27aLLH,2.5,,o mais assustador desse filme é o marido merda que essa mulher arrumou,,2021-09-03
2021-09-05,Awake,2021,https://boxd.it/27cZPx,2.5,,a menina dormiu o tempo todo pq tava cansada de carregar o filme nas costas ,,2021-09-04
2021-09-06,Exam,2009,https://boxd.it/27rFEJ,4.5,,oito cabeças NÃO pensam melhor que uma,,2021-09-05
2021-09-08,Escape Room: Tournament of Champions,2021,https://boxd.it/27KoOF,4.5,,essa coitada dessa órfã não faz um filme que ela seja feliz????,,2021-09-07
2021-09-18,Admission,2013,https://boxd.it/291E5p,5,,saco de filme fofo,,2021-09-17
2021-09-20,Saw II,2005,https://boxd.it/29lPVh,2.5,Yes,amanda a única porquinha que prestou pq sabia que não prestava,,2021-09-19
2021-09-20,Saw VI,2009,https://boxd.it/29lRR7,3.5,Yes,serviço porco e mal feito era o que esse feio fazia ,,2021-09-19
2021-09-26,La La Land,2016,https://boxd.it/2a3Tm9,5,Yes,como eu amo esse filme!!!!!!,,2021-09-25
2021-09-28,The Boy Who Killed My Parents,2021,https://boxd.it/2aoZVL,5,,carla diaz ta bem ein amiga,,2021-09-27
2021-09-28,The Girl Who Killed Her Parents,2021,https://boxd.it/2ap0TL,5,,o travesseiro é mentira pq ninguém além da doida da suzane se prestaria ao papel de comprar aquela coisa horrenda,,2021-09-27
2021-09-28,Old,2021,https://boxd.it/2ashdD,3.5,,que loucura é essa,,2021-09-27
2021-10-10,Free Guy,2021,https://boxd.it/2c4rcZ,4.5,,é TÃO ruim que é bom,,2021-10-08
2021-10-17,Stardust,2007,https://boxd.it/2d9ghX,5,Yes,eu te amo tanto,,2021-10-16
2021-10-30,The Hitman's Bodyguard,2017,https://boxd.it/2ffMQv,3,,amo qualquer farofa que o ryan reynolds faz,,
2021-11-03,A Simple Favor,2018,https://boxd.it/2g0rcX,5,,curou toda a minha tristeza,,2021-11-02
2021-11-15,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2hXnsp,5,,a fase dos ficha limpa do mcu ta arrasando,,2021-11-14
2021-11-26,Chaos Walking,2021,https://boxd.it/2jrrM3,0.5,,parem de matar os bichos nos filmes porra,,2021-11-25
2021-12-15,Gone Girl,2014,https://boxd.it/2mmlsD,5,,"advogada da amy dunne aqui 
fez o ben affleck sofrer foi pouco",,2021-12-14
2021-12-17,Beautiful Boy,2018,https://boxd.it/2mEXb7,4.5,,nem o Timothée gastando todo o cursinho de atuação do projac conseguiu me fazer desver o michael scott,,2021-12-16
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/2mO3Rr,5,,"emocionada pelo fan service muito bem executado
quase 2 horas de thor chegando em wakanda",,2021-12-17
2021-12-23,Hawkeye,2021,https://boxd.it/2nNt0F,5,,te amo kate bishop,,2021-12-22
2021-12-23,The Matrix,1999,https://boxd.it/2nNubJ,1.5,,2 horas desse live action de the sims,,2021-12-22
2021-12-24,The Matrix Reloaded,2003,https://boxd.it/2nYzgr,1,,ai olha.....,,2021-12-22
2021-12-29,Don't Look Up,2021,https://boxd.it/2pcdDP,3.5,,que saco como eu queria falar mal,,2021-12-28
2021-12-31,Scream 2,1997,https://boxd.it/2pLaOF,4,Yes,quase morreu 300 vezes mas o pior de tudo foi namorado fazendo ela passar vergonha no refeitório,,2021-12-30
2021-12-31,Scream 3,2000,https://boxd.it/2pORTT,2.5,Yes,jennifer lawrence em don't look up se inspirou na lenda gale weathers,,2021-12-30
2021-12-31,Scream 4,2011,https://boxd.it/2pP2nJ,5,Yes,i don't need friends i need fans,,2021-12-30
2022-01-13,mother!,2017,https://boxd.it/2tk3rh,0.5,,"vai fumar 3 maços de cigarro perto de lençol na puta que pariu 
eu já dava dois tiros pro alto ",,2022-01-12
2022-01-17,Ghostbusters: Afterlife,2021,https://boxd.it/2uqFf5,5,,que filme bonitinho não aguento mais chorar,,2022-01-16
2022-01-22,Halloween Kills,2021,https://boxd.it/2voFDB,0.5,,puta filme sem propósito,,2022-01-21
2022-01-23,Scream,2022,https://boxd.it/2vGMh9,5,,a falta que um filme trash fez na vida desses adolescentes,,2022-01-22
2022-02-09,Through My Window,2022,https://boxd.it/2yXanz,0.5,,se a vontade de beber cloro com bicarbonato de sódio fosse um filme,,2022-02-08
2022-02-21,Scream,2022,https://boxd.it/2BbLcJ,5,Yes,como pode a amber tão linda e tão doida,,2022-02-20
2022-03-09,The Voyeurs,2021,https://boxd.it/2E1Ysn,2.5,,bora Sydney te desafio a fazer uma personagem mentalmente estável,,2022-03-08
2022-03-09,Being the Ricardos,2021,https://boxd.it/2E2hXf,2.5,,"att: ta muito chatinho nem sei se vo terminar
att 2: glória deus consegui terminar",,2022-03-08
2022-03-09,West Side Story,2021,https://boxd.it/2E5G33,1,,muito chatinho,,2022-03-08
2022-03-09,Encanto,2021,https://boxd.it/2E6PrF,4,,não tem estatuto do idoso que proteja essa velha do meu ódio,,2022-03-08
2022-03-11,Dune,2021,https://boxd.it/2EnunL,2.5,,o cu gigante não é o vilão?,,2022-03-10
2022-03-11,No Time to Die,2021,https://boxd.it/2EoRA1,4.5,,perdeu meia estrela pq eu queria ver tiroteio e não chorar.,,2022-03-10
2022-03-13,Spider-Man: No Way Home,2021,https://boxd.it/2EOC9h,4.5,Yes,divertido e tals mas melhor efeito visual vc ta tirando uma com a minha cara né?,,2022-03-12
2022-03-15,The Batman,2022,https://boxd.it/2Fisxt,5,,selina kyle vc levou um gato só achando que ninguém ia ver ,,2022-03-14
2022-03-18,Push,2009,https://boxd.it/2FIia7,5,Yes,ainda não entendi se ela era do governo ou não 😭 ,,2022-03-17
2022-03-18,House of Gucci,2021,https://boxd.it/2FKyQd,2,,mds 1h e 40 e nenhum homicídio ainda???,,2022-03-17
2022-03-18,Daredevil,2003,https://boxd.it/2FKzEn,0.5,,chega a ser fofo de tão ruim,,2022-03-17
2022-03-19,Deep Water,2022,https://boxd.it/2FUdAj,0.5,,infelizmente não morreu mas foi corno e não largou,,2022-03-18
2022-03-21,Monica and Friends: Lessons,2021,https://boxd.it/2Gk7WF,5,,arrancou toda a tristeza que eu já tive um dia,,2022-03-20
2022-03-22,The Batman,2022,https://boxd.it/2GAsyV,5,Yes,robert pattinson sofrido arrastando uma mesa sem camisa e a mc ká de paris cantando na minha cabeça gostoso seu gostoso,,2022-03-21
2022-04-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/2IS5dp,5,,matthew mcconaughey vc é gostoso e sabe disso!!!!!,,2022-04-03
2022-04-07,Bride Wars,2009,https://boxd.it/2JouJT,3.5,,imagina juntar dinheiro desde os 16 anos pro chris pratt estragar seu casamento ,,2022-04-06
2022-04-07,A Little Bit of Heaven,2011,https://boxd.it/2JtcV3,2,,"po sei lá eu queria um filme fofo e terminei chorando
isso é propaganda enganosa ",,2022-04-06
2022-04-10,Dr. No,1962,https://boxd.it/2JRYmj,3.5,,"e ainda tiveram coragem de falar que o daniel craig era muito feio pra ser 007
malditos.",,2022-04-09
2022-04-11,Midnight,2021,https://boxd.it/2K4avh,4.5,,que psicopata gostoso,,2022-04-10
2022-04-11,From Russia with Love,1963,https://boxd.it/2K9VrL,4,,james bond como vc é GADO,,2022-04-09
2022-04-15,The 355,2022,https://boxd.it/2KO10h,0.5,,vamos galera mulheres ,,2022-04-14
2022-04-17,Raya and the Last Dragon,2021,https://boxd.it/2L6SeR,4.5,,covardia fazer uma pessoa chorar por causa de 3 macacos e 1 bebê ,,2022-04-16
2022-04-17,Death on the Nile,2022,https://boxd.it/2L87qP,0.5,,a parte mais chocante é a mãe do bouc não ser a katherine ,,2022-04-16
2022-04-25,Avengers: Infinity War,2018,https://boxd.it/2MFv5r,3,Yes,interessante pontuar que a globo quase não cortou o filme,,2022-04-24
2022-04-25,Uncharted,2022,https://boxd.it/2MFEfP,3.5,,gostoso tom holland vc é GOSTOSO ,,2022-04-24
2022-05-01,Jupiter Ascending,2015,https://boxd.it/2NFFtd,3,,a coitada não flertou ela IMPLOROU ,,2022-04-30
2022-05-15,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2QajvB,2.5,,achei ruim pra porra cada segundo a wanda queria dar um lacre pra defender os nft dela vsf,,2022-05-08
2022-05-15,Moonfall,2022,https://boxd.it/2QaoKB,2,,"começa ""2012"" no meio vira ""Prometheus"" e termina ""Duna""",,2022-05-14
2022-05-21,Moon Knight,2022,https://boxd.it/2RcPCn,5,,oscar isaac vc sabe o que faz!!!!,,2022-05-20
2022-05-23,The Lost City,2022,https://boxd.it/2RAxHx,4,,foi bem pastelão mas um bem feito ,,2022-05-21
2022-05-23,Morbius,2022,https://boxd.it/2RAyBP,0.5,,cara que lixo,,2022-05-20
2022-05-29,Mayday,2021,https://boxd.it/2SGMrl,2.5,,morrer e cair numa ilha com a mia goth doidona dando tiro pro alto não parece ruim,,2022-05-28
2022-07-17,The Black Phone,2021,https://boxd.it/31MefN,5,,"puta filme bom 
se o futuro da atuação ta na mão dessas crianças então ele ta muito bem",,2022-07-16
2022-10-14,Do Revenge,2022,https://boxd.it/3jWbef,4,,caraca a gabbi só aparece o tempo de uma fancam msm Netflix sua homofóbica ,,2022-10-13
2022-10-16,Nope,2022,https://boxd.it/3kkJmZ,5,,a barbie com mais falas aqui do que na s2 de euphoria,,2022-10-15
2022-10-16,Bodies Bodies Bodies,2022,https://boxd.it/3kovmJ,1.5,,"só faltou o ""e ta tudo bem""",,2022-10-15
2022-10-20,The Purge,2013,https://boxd.it/3lci6X,2.5,Yes,po galera vcs não podiam ter comprado um lote da mesma peruca?,,2022-10-19
2022-10-22,The Purge: Anarchy,2014,https://boxd.it/3lxyFB,1.5,Yes,eles fazem uns personagens chatos já na intenção de matar sem apanharem na rua depois ,,2022-10-19
2022-10-22,The Purge: Election Year,2016,https://boxd.it/3lILmf,3.5,,melhoraram um pouquinho e até senti pena dos personagens ,,2022-10-21
2022-10-29,Pearl,2022,https://boxd.it/3ndotj,4,,ela teve seus motivos ok,,2022-10-28
2022-10-29,X,2022,https://boxd.it/3ndpqv,1.5,,crepúsculo se o edward deixasse a bella na seca por mais um filme,,2022-09-24
2022-10-29,Insidious: Chapter 2,2013,https://boxd.it/3ndvh5,1.5,,honestamente não sei diferenciar esse do primeiro,,
2022-11-14,Don't Worry Darling,2022,https://boxd.it/3qzd81,1.5,,"ta tudo bem olivia wilde pode falar que vc queria fazer uma série mas o dinheiro não caiu na conta
td mundo percebeu pq vc correu o filme todo sua maluca",,2022-11-13
2022-11-14,Smile,2022,https://boxd.it/3qM71z,2,,o único susto que eu tomei foi com a habilidade dessa mulher de quebrar todos os vidros da casa ,,2022-11-13
2022-12-12,Lethal Weapon,1987,https://boxd.it/3wmdi9,4,Yes,melhor filme de natal seguido por duro de matar,,2022-12-11
2022-12-18,Goodnight Mommy,2022,https://boxd.it/3xH9Mv,1.5,,não conseguiu sustentar o suspense,,2022-12-17
2022-12-18,My Policeman,2022,https://boxd.it/3xIGPz,0.5,,cara eu quero meu tempo de volta,,2022-12-17
2022-12-18,Your Christmas Or Mine?,2022,https://boxd.it/3xND09,0.5,,parem de fazer filme de natal se não for pra aparecer um papai noel disfarçado dando lição de moral,,2022-12-17
2022-12-18,First Daughter,2004,https://boxd.it/3xQk7L,4,,sua safada o povo trabalhando e vc alugando o avião do governo pra passear com seu peguete,,2022-12-17
2022-12-20,Something from Tiffany's,2022,https://boxd.it/3ykmy5,5,,eu tbm trocaria tudo pela zoey deutch,,2022-12-19
2022-12-21,Fight Club,1999,https://boxd.it/3yvKQp,3,,o começo tava uma bosta mas melhorou depois que tudo ficou caótico,,2022-12-19
2022-12-21,One Day,2011,https://boxd.it/3yzZOL,3.5,,eu quero o que eles tem quando tudo deu certo e parar por ali 😭,,2022-12-20
2022-12-21,Se7en,1995,https://boxd.it/3yDjn7,5,,https://youtu.be/_HEE0RuKBCA,,2022-12-20
2022-12-22,Shaun of the Dead,2004,https://boxd.it/3yOfIn,5,,obra prima revolucionária,,2022-12-21
2022-12-22,Everything Everywhere All at Once,2022,https://boxd.it/3ySktl,5,,primeiro filme que me fez amar todos os personagens to chorando igual a um bebê,,2022-12-21
2023-01-01,The Father,2020,https://boxd.it/3Cq17l,5,,vo mandar a real: olivia colman te vejo como uma figura materna,,2022-12-31
2023-01-01,Zoolander,2001,https://boxd.it/3Cq33v,4.5,,tantas camadas e conseguiu ser ruim em todas elas,,2022-12-31
2023-01-01,Interstellar,2014,https://boxd.it/3CvLmV,4.5,,"sem sacanagem eu chorei bem 
mas esse final ta pau a pau com o poder da amizade tendo um filho com pq deus quis",,2022-12-31
