Date,Name,Year,Letterboxd URI
2020-07-17,Parasite,2019,https://boxd.it/hTha
2020-07-17,Knives Out,2019,https://boxd.it/jWEA
2020-07-17,Joker,2019,https://boxd.it/h4cS
2020-07-17,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-07-17,The Dark Knight,2008,https://boxd.it/2b0k
2020-07-17,Lost in Translation,2003,https://boxd.it/2b0E
2020-07-17,Get Out,2017,https://boxd.it/eOCm
2020-07-17,Call Me by Your Name,2017,https://boxd.it/dYmm
2020-07-17,Hereditary,2018,https://boxd.it/hNVe
2020-07-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2020-07-17,Arrival,2016,https://boxd.it/aNGk
2020-07-17,Avengers: Endgame,2019,https://boxd.it/9vE4
2020-07-17,Avengers: Infinity War,2018,https://boxd.it/9vEe
2020-07-17,Black Panther,2018,https://boxd.it/8MHs
2020-07-17,Coco,2017,https://boxd.it/bYJQ
2020-07-17,Us,2019,https://boxd.it/gnV6
2020-07-17,Ratatouille,2007,https://boxd.it/27ww
2020-07-17,The Breakfast Club,1985,https://boxd.it/27q4
2020-07-17,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2020-07-17,Dead Poets Society,1989,https://boxd.it/2aSg
2020-07-17,Before Sunrise,1995,https://boxd.it/2bcU
2020-07-21,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO
2020-07-21,Watchmen,2009,https://boxd.it/1QE4
2020-07-26,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2020-11-25,The New Mutants,2020,https://boxd.it/bjle
2020-11-25,A Star Is Born,2018,https://boxd.it/aXgc
2020-11-25,Heathers,1989,https://boxd.it/26x4
2020-11-25,Twilight,2008,https://boxd.it/1Zui
2020-11-25,Happy Death Day,2017,https://boxd.it/fDz4
2020-11-25,The Great Gatsby,2013,https://boxd.it/JY
2020-11-25,Spider-Man,2002,https://boxd.it/2a8i
2020-11-25,Suicide Squad,2016,https://boxd.it/9row
2020-11-25,Jumanji,1995,https://boxd.it/1ZLI
2020-11-25,To All the Boys I've Loved Before,2018,https://boxd.it/gHec
2020-11-25,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2020-11-25,(500) Days of Summer,2009,https://boxd.it/1EmM
2020-11-25,Ghost Rider,2007,https://boxd.it/290M
2020-11-25,Spider-Man 2,2004,https://boxd.it/2a88
2020-11-25,Transformers,2007,https://boxd.it/280c
2020-11-25,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm
2020-11-25,Push,2009,https://boxd.it/1Q8W
2020-11-25,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/8i6Q
2020-11-25,The Sorcerer's Apprentice,2010,https://boxd.it/1sGg
2020-11-25,Mirror Mirror,2012,https://boxd.it/awA
2020-11-25,The Witch,2015,https://boxd.it/9X0m
2020-11-25,Wild Child,2008,https://boxd.it/1P0C
2020-11-25,Host,2020,https://boxd.it/r5O4
2020-11-25,The Craft,1996,https://boxd.it/1Zai
2020-11-25,Mamma Mia!,2008,https://boxd.it/1Tnq
2020-11-25,Beastly,2011,https://boxd.it/16Js
2020-11-25,The Book of Henry,2017,https://boxd.it/dka6
2020-11-25,Megan Is Missing,2011,https://boxd.it/sKJG
