Date,Name,Year,Letterboxd URI
2022-03-09,Belfast,2021,https://boxd.it/tefG
2022-03-09,CODA,2021,https://boxd.it/tbf4
2022-03-09,Drive My Car,2021,https://boxd.it/sv94
2022-03-09,King Richard,2021,https://boxd.it/mJZ2
2022-03-09,Licorice Pizza,2021,https://boxd.it/qTKY
2022-03-09,Nightmare Alley,2021,https://boxd.it/m0HC
2022-03-09,The Power of the Dog,2021,https://boxd.it/m99E
2022-03-09,The Eyes of Tammy Faye,2021,https://boxd.it/mbB6
2022-03-09,The Lost Daughter,2021,https://boxd.it/kgww
2022-03-09,Parallel Mothers,2021,https://boxd.it/sOP4
2022-03-09,Spencer,2021,https://boxd.it/qPMG
2022-03-09,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2022-03-09,Flee,2021,https://boxd.it/ponM
2022-03-09,The Hand of God,2021,https://boxd.it/r5uI
2022-03-09,Lunana: A Yak in the Classroom,2019,https://boxd.it/ndMM
2022-03-09,Ascension,2021,https://boxd.it/uZ22
2022-03-09,Attica,2021,https://boxd.it/wp0o
2022-03-09,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu
2022-03-09,Writing with Fire,2021,https://boxd.it/tbl2
2022-03-09,Audible,2021,https://boxd.it/uV2M
2022-03-09,Lead Me Home,2021,https://boxd.it/wMBC
2022-03-09,The Queen of Basketball,2021,https://boxd.it/uZY6
2022-03-09,Three Songs for Benazir,2021,https://boxd.it/v9Rk
2022-03-09,When We Were Bullies,2021,https://boxd.it/tcaO
2022-03-09,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm
2022-03-09,Four Good Days,2020,https://boxd.it/nP0c
2022-03-09,Cyrano,2021,https://boxd.it/rnri
2022-03-09,Coming 2 America,2021,https://boxd.it/hrdu
2022-03-09,Take and Run,2020,https://boxd.it/weCc
2022-03-09,The Dress,2020,https://boxd.it/rFQg
2022-03-09,The Long Goodbye,2020,https://boxd.it/ppuO
2022-03-09,On My Mind,2021,https://boxd.it/yAwu
2022-03-09,Please Hold,2020,https://boxd.it/rPGU
2022-03-09,Affairs of the Art,2021,https://boxd.it/rSbU
2022-03-09,Bestia,2021,https://boxd.it/vePo
2022-03-09,BoxBallet,2020,https://boxd.it/s0hc
2022-03-09,Robin Robin,2021,https://boxd.it/o9OQ
2022-03-09,The Windshield Wiper,2021,https://boxd.it/mbcq
