Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-12-01,Sausage Party,2016,https://boxd.it/2kkkar,1,,,2018-12-19
2020-05-10,Pump Up the Volume,1990,https://boxd.it/18uSqd,3,,,2020-05-10
2020-05-17,Beetlejuice,1988,https://boxd.it/19l5JB,5,,,2020-05-17
2020-05-18,Ruby Sparks,2012,https://boxd.it/19t42H,3.5,,,2020-05-18
2020-05-20,Beetlejuice,1988,https://boxd.it/19GgI7,5,Yes,,2020-05-20
2020-05-20,Hugo,2011,https://boxd.it/19H2E3,5,,,2020-05-20
2020-05-31,All the Reasons to Forget,2017,https://boxd.it/1aW7yt,4,,,2020-05-31
2020-06-05,Beetlejuice,1988,https://boxd.it/1brzPf,5,Yes,,2020-06-05
2020-06-05,Batman & Robin,1997,https://boxd.it/1brA9z,3,,,2020-06-05
2020-06-05,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1brAkn,5,,,2020-06-05
2020-06-05,Les Misérables,2012,https://boxd.it/1brAJx,5,,,2020-06-05
2020-06-05,The Phantom of the Opera,2004,https://boxd.it/1brAXz,3.5,,,2020-06-05
2023-03-21,Beetlejuice,1988,https://boxd.it/40PDwJ,4,Yes,,2020-06-05
2020-06-09,Schindler's List,1993,https://boxd.it/1bQi7F,5,,,2020-06-08
2020-06-09,Empire of the Sun,1987,https://boxd.it/1bQldB,5,,,2020-06-08
2020-06-11,Twilight,2008,https://boxd.it/1c3sq9,1,,,2020-06-10
2020-06-11,Little Women,1994,https://boxd.it/1c6vaT,5,,,2020-06-11
2020-06-11,Spider-Man,2002,https://boxd.it/1c6vh1,4,,,2020-06-11
2020-06-11,Juno,2007,https://boxd.it/1c6vYJ,3,,,2020-06-11
2020-06-14,(500) Days of Summer,2009,https://boxd.it/1cpAyp,2.5,,,2020-06-14
2020-06-14,Spider-Man 2,2004,https://boxd.it/1cpCsj,5,,,2020-06-14
