Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-05,"aparece ""gente"" careca ",,https://boxd.it/dBbzI,"generosa, deixei passar os calvos."

Position,Name,Year,URL,Description
1,[REC],2007,https://boxd.it/20ma,
2,Natural Born Killers,1994,https://boxd.it/2aNg,
3,Split,2016,https://boxd.it/dgSy,
4,The Matrix,1999,https://boxd.it/2a1m,
5,The Matrix Revolutions,2003,https://boxd.it/2a12,
6,The Matrix Reloaded,2003,https://boxd.it/2a1c,
7,White Chicks,2004,https://boxd.it/1SpK,
8,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
