Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-20,elm street,,https://boxd.it/nXO2i,ranking do melhor para o pior

Position,Name,Year,URL,Description
1,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
2,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W,
3,New Nightmare,1994,https://boxd.it/1TsU,
4,A Nightmare on Elm Street 4: The Dream Master,1988,https://boxd.it/1X0U,
5,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/1XiE,
6,A Nightmare on Elm Street,2010,https://boxd.it/1zdg,
7,Freddy's Dead: The Final Nightmare,1991,https://boxd.it/1Uea,
