Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-02-22,expressionismo alemão,,https://boxd.it/bgjAu,

Position,Name,Year,URL,Description
1,Nosferatu,1922,https://boxd.it/29TM,
2,The Golem: How He Came into the World,1920,https://boxd.it/262g,
3,Metropolis,1927,https://boxd.it/71a,
4,M,1931,https://boxd.it/29vq,
5,Häxan,1922,https://boxd.it/n4O,
6,From Morn to Midnight,1920,https://boxd.it/5oca,
7,Destiny,1921,https://boxd.it/1nRo,
8,Algol: Tragedy of Power,1920,https://boxd.it/5nRG,
9,"Dr. Mabuse, the Gambler",1922,https://boxd.it/22dE,
10,Spies,1928,https://boxd.it/2IXk,
11,Madame DuBarry,1919,https://boxd.it/J0k,
12,Faust,1926,https://boxd.it/1Vxi,
