Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-03-30,hellraiser,,https://boxd.it/m0JZs,aqui eu não acho que seja seletivo e sim questão de MUITO bom senso.

Position,Name,Year,URL,Description
1,Hellraiser III: Hell on Earth,1992,https://boxd.it/1TwW,
2,Hellraiser,1987,https://boxd.it/1Zpi,
3,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,
4,Hellraiser: Hellworld,2005,https://boxd.it/1Rom,
5,Hellraiser: Evolutions,2015,https://boxd.it/oniu,
6,Hellraiser: Inferno,2000,https://boxd.it/1RCe,
7,Hellraiser: Hellseeker,2002,https://boxd.it/1Uh4,
8,Hellraiser: Bloodline,1996,https://boxd.it/1ZSk,
9,Hellraiser: Prophecy,2006,https://boxd.it/d92A,
10,Hellraiser: Deader,2005,https://boxd.it/1IEA,
11,Hellraiser: Judgment,2018,https://boxd.it/fNRC,
12,Hellraiser: Revelations,2011,https://boxd.it/2ta8,
13,Hellraiser: Origins,2013,https://boxd.it/iRAw,
