Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-08-06,💞 Júlia Fraga 💞,,https://boxd.it/cXT4u,te amo

Position,Name,Year,URL,Description
1,Chungking Express,1994,https://boxd.it/1UDa,
2,Last Christmas,2019,https://boxd.it/k38G,
3,About Time,2013,https://boxd.it/43bI,
4,10 Things I Hate About You,1999,https://boxd.it/23AO,
5,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
6,Love & Other Drugs,2010,https://boxd.it/UIi,
7,Teen's Confessions,2013,https://boxd.it/6JCU,
8,"Angus, Thongs and Perfect Snogging",2008,https://boxd.it/1RpO,
9,The DUFF,2015,https://boxd.it/8eP8,
10,One Day,2011,https://boxd.it/Asu,
11,Moulin Rouge!,2001,https://boxd.it/29wI,
12,Can You Keep a Secret?,2019,https://boxd.it/jAma,
13,The Notebook,2004,https://boxd.it/1UNE,
14,Notting Hill,1999,https://boxd.it/2aeK,
15,Pretty in Pink,1986,https://boxd.it/1TEw,
16,Letters to Juliet,2010,https://boxd.it/19aK,Júlia Fraga !
17,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,
18,P.S. I Love You,2007,https://boxd.it/229C,
19,If Only,2004,https://boxd.it/1LxW,
20,Just Like Heaven,2005,https://boxd.it/1ZoO,
21,Before Sunrise,1995,https://boxd.it/2bcU,
22,Before Sunset,2004,https://boxd.it/2bcg,
23,Cinderella,2015,https://boxd.it/4KX6,
24,Pride & Prejudice,2005,https://boxd.it/24u8,
25,Pride and Prejudice,1995,https://boxd.it/g97G,
