Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-09-07,musicais,,https://boxd.it/8Fc74,lalalala 🎶🎶

Position,Name,Year,URL,Description
1,The Phantom of the Opera,2004,https://boxd.it/1XHu,
2,Les Misérables,2012,https://boxd.it/2TT4,
3,Mamma Mia!,2008,https://boxd.it/1Tnq,
4,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,
5,Rocketman,2019,https://boxd.it/iehK,
6,Across the Universe,2007,https://boxd.it/23X4,
7,La La Land,2016,https://boxd.it/a5fa,
8,Pitch Perfect,2012,https://boxd.it/3OsE,
9,Pitch Perfect 2,2015,https://boxd.it/7tNa,
10,Pitch Perfect 3,2017,https://boxd.it/bUre,
11,Cats,2019,https://boxd.it/jydK,
12,Yesterday,2019,https://boxd.it/iF7M,
13,Annie,1982,https://boxd.it/1LCi,
14,Hamilton,2020,https://boxd.it/kmvE,
15,High School Musical,2006,https://boxd.it/1V0y,
16,High School Musical 2,2007,https://boxd.it/1PIu,
17,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,
18,The Dirt,2019,https://boxd.it/aGN4,
19,Mary Poppins Returns,2018,https://boxd.it/e4nU,
20,Camp Rock,2008,https://boxd.it/1PHw,
21,Camp Rock 2: The Final Jam,2010,https://boxd.it/Sru,
22,A Star Is Born,2018,https://boxd.it/aXgc,
23,Bohemian Rhapsody,2018,https://boxd.it/f1TK,
