Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-25,💌,,https://boxd.it/o6XlQ,

Position,Name,Year,URL,Description
1,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
2,Singin' in the Rain,1952,https://boxd.it/29oY,
3,Moulin Rouge!,2001,https://boxd.it/29wI,
4,Les Misérables,2012,https://boxd.it/2TT4,
5,The Phantom of the Opera,2004,https://boxd.it/1XHu,
6,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
7,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,
8,Mamma Mia!,2008,https://boxd.it/1Tnq,
9,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,
10,Hairspray,2007,https://boxd.it/261M,
11,Grease,1978,https://boxd.it/29YW,
12,High School Musical,2006,https://boxd.it/1V0y,
13,High School Musical 2,2007,https://boxd.it/1PIu,
14,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,
15,Camp Rock,2008,https://boxd.it/1PHw,
16,Camp Rock 2: The Final Jam,2010,https://boxd.it/Sru,
