Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-03-29,pioneiros cinema,,https://boxd.it/bBK8E,

Position,Name,Year,URL,Description
1,Be Natural: The Untold Story of Alice Guy-Blaché,2018,https://boxd.it/iRH8,
2,"Algie, the Miner",1912,https://boxd.it/2Tzy,
3,Greater Love Hath No Man,1911,https://boxd.it/bEIe,
4,Falling Leaves,1912,https://boxd.it/4GkO,
5,Matrimony's Speed Limit,1913,https://boxd.it/4Bo2,
6,Suspense.,1913,https://boxd.it/3zPo,
7,The Girl in the Arm-Chair,1912,https://boxd.it/aHju,
8,Making an American Citizen,1912,https://boxd.it/4U6c,
9,The Smiling Madame Beudet,1923,https://boxd.it/G28,
10,The Peasant Women of Ryazan,1927,https://boxd.it/5K06,
11,Parabola,1937,https://boxd.it/6vSO,
12,The Ocean Waif,1916,https://boxd.it/4Lvi,
