Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-04-22,this is my comfortttt!!!,,https://boxd.it/bT2Vo,*sons musicais*

Position,Name,Year,URL,Description
1,Mamma Mia!,2008,https://boxd.it/1Tnq,
2,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,
3,Hamilton,2020,https://boxd.it/kmvE,
4,Les Misérables,2012,https://boxd.it/2TT4,
5,High School Musical,2006,https://boxd.it/1V0y,
6,High School Musical 2,2007,https://boxd.it/1PIu,
7,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,
8,Camp Rock,2008,https://boxd.it/1PHw,
9,Camp Rock 2: The Final Jam,2010,https://boxd.it/Sru,
10,Descendants,2015,https://boxd.it/8rMm,
11,Descendants 2,2017,https://boxd.it/eJMG,
12,Descendants 3,2019,https://boxd.it/ijcg,
13,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,
14,Moulin Rouge!,2001,https://boxd.it/29wI,
15,The Prom,2020,https://boxd.it/mAyG,
16,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
17,Teen Beach Movie,2013,https://boxd.it/5rKa,
