Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-05-10,Pump Up the Volume,1990,https://boxd.it/18uSqd,3,,adolescente gostoso e revoltado que faz adolescentes se revoltarem,,2020-05-10
2020-05-18,Ruby Sparks,2012,https://boxd.it/19t42H,3.5,,homem não fica satisfeito com nada,,2020-05-18
2020-05-20,Hugo,2011,https://boxd.it/19H2E3,5,,"definitivamente uma das coisas mais delicadas e bem feitas que eu já vi. ouso dizer que um dos melhores do Scorsese.
emocionei",,2020-05-20
2020-05-31,All the Reasons to Forget,2017,https://boxd.it/1aW7yt,4,,é foda,,2020-05-31
2020-06-05,Beetlejuice,1988,https://boxd.it/1brzPf,5,Yes,"não sei nem expressar o quanto esse filme é perfeito.
amo em níveis absurdos.",,2020-06-05
2020-06-05,Batman & Robin,1997,https://boxd.it/1brA9z,3,,"zero memes, mas se tu assistir com a mente aberta vc consegue pegar a essência dessa obra de arte incompreendida",,2020-06-05
2020-06-05,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1brAkn,5,,"um dos melhores musicais. eu literalmente posso rever várias vezes no mesmo dia que só fica melhor, apesar da história um pouco macabra.",,2020-06-05
2020-06-05,Les Misérables,2012,https://boxd.it/1brAJx,5,,eu literalmente amo tudo nesse filme.,,2020-06-05
2020-06-05,The Phantom of the Opera,2004,https://boxd.it/1brAXz,3.5,,"clássico clássico.

eu particularmente escolheria o feio",,2020-06-05
2020-06-09,Schindler's List,1993,https://boxd.it/1bQi7F,5,,<blockquote></blockquote>,,2020-06-08
2020-06-09,Empire of the Sun,1987,https://boxd.it/1bQldB,5,,melhor filme do christian bale e falo com tranquilidade.,,2020-06-08
2020-06-11,Twilight,2008,https://boxd.it/1c3sq9,1,,ganhou estrela por causa do Robert Pattinson,,2020-06-10
2020-06-11,Little Women,1994,https://boxd.it/1c6vaT,5,,xoxo,,2020-06-11
2020-06-11,Spider-Man,2002,https://boxd.it/1c6vh1,4,,melhor homem aranha sim e esse Peter bota uns heróis pra mamar sim,,2020-06-11
2020-06-14,(500) Days of Summer,2009,https://boxd.it/1cpAyp,2.5,,pelo menos toca the smiths,,2020-06-14
2020-06-14,Spider-Man 2,2004,https://boxd.it/1cpCsj,5,,esse homem aranha bota qualquer outro herói pra mamar,,2020-06-14
2020-06-17,6 Years,2015,https://boxd.it/1cKwOF,,,"odeio tudo nesse filme, é tudo ruim. um lixo. mds que ódio
foi uma das piores coisas que eu já vi.",,2020-06-17
2020-06-17,6 Years,2015,https://boxd.it/1cKyJn,,,"odeio tudo nesse filme, é tudo ruim. um lixo. mds que ódio
foi uma das piores coisas que eu já vi.",,2020-06-17
2020-06-17,6 Years,2015,https://boxd.it/1cKCsv,,,"odeio tudo nesse filme, é tudo ruim. um lixo. mds que ódio
foi uma das piores coisas que eu já vi",,2020-06-17
2020-06-17,The Lobster,2015,https://boxd.it/1cKHAT,4,,"meu irmão, esse filme me fez refletir quando eu achei que não tava entendendo necas",,2020-06-17
2020-06-19,Magic Mike,2012,https://boxd.it/1cTUkR,3,Yes,hm gostosos,,2020-06-18
2020-06-19,A.I. Artificial Intelligence,2001,https://boxd.it/1cUX3B,4,,ele só queria ser um menino 😭,,2020-06-19
2020-07-01,Irreversible,2002,https://boxd.it/1e5YKx,3,,tô perturbada e fragilizada,,2020-06-30
2020-07-05,From Dusk Till Dawn,1996,https://boxd.it/1etNE7,4,,feliz aniversário 🤯,,2020-07-04
2020-07-19,The Sorcerer's Apprentice,2010,https://boxd.it/1fXIuZ,5,,esse é o melhor filme do mundo e só opiniões iguais a essa importam!!,,2020-07-18
2020-08-10,RockNRolla,2008,https://boxd.it/1ihKbX,5,,obs: elenco muito gostoso,,2020-08-10
2020-08-11,It's Kind of a Funny Story,2010,https://boxd.it/1ipa6t,3,,"amodeio.
acho que tem uns fatores muito problemáticos no filme que são visíveis, apesar da aparentemente boa intenção, não acho que esse filme trate muito bem do assunto da depressão, mas gosto muito da performance de under pressure e o zack garifalakis fazendo um filme de drama é absolutamente tudo pra mim. ator injustiçado",,2020-08-11
2020-08-14,This Is the End,2013,https://boxd.it/1iEsvV,5,,foi o fim,,2020-08-13
2020-08-15,Gone Girl,2014,https://boxd.it/1iKRpP,3.5,,muito bom. melhor ainda se não tivesse o Ben Affleck,,2020-08-14
2020-08-17,Mamma Mia!,2008,https://boxd.it/1j3g6z,4,,não gosta = monstro sem coração,,2020-08-17
2020-08-18,Stardust,2007,https://boxd.it/1j9Q4h,5,,melhor filme do mundo,,2020-08-18
2020-08-23,Work It,2020,https://boxd.it/1jD6r5,1,,"sinto que se a Sabrina não estivesse no filme e a jas fosse principal o filme não ia ser tão ruim como é.
literalmente senti vergonha alheia em metade das cenas (todas com a Sabrina) 
Jordan Fisher com dor de tanto carregar o filme",,2020-08-23
2020-09-06,Hope,2013,https://boxd.it/1l7N2B,4,,"mano.............................



sinto que meu ódio só vai diminuir 5% quando alguém matar esse homem da pior maneira possível",,2020-09-06
2020-09-07,The Tale,2018,https://boxd.it/1lc4gX,3.5,,:(,,2020-09-06
