Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-02,The Sorcerer's Apprentice,2010,https://boxd.it/1LoSe1,5,,,2019-03-06
2023-03-26,Nightcrawler,2014,https://boxd.it/41Tg5n,4,,,2019-03-21
2023-03-27,10 Things I Hate About You,1999,https://boxd.it/42grJz,,,,2019-06-29
2023-04-03,Ralph Breaks the Internet,2018,https://boxd.it/4457eH,,,,2019-07-13
2023-03-26,The Breakfast Club,1985,https://boxd.it/41SPJ1,2.5,,,2019-08-11
2023-03-26,Apocalypse Now,1979,https://boxd.it/420elH,,,,2019-09-17
2023-03-28,I Know What You Did Last Summer,1997,https://boxd.it/42ETAj,,,,2020-02-06
2020-04-05,Swallow,2019,https://boxd.it/146r2T,5,,,2020-04-04
2020-04-05,Vivarium,2019,https://boxd.it/146rvB,4,,,2020-04-04
2020-04-05,The Lighthouse,2019,https://boxd.it/146rHn,5,,,2020-04-04
2020-04-05,Midsommar,2019,https://boxd.it/146rOt,5,,,2020-04-04
2020-04-10,How to Be Single,2016,https://boxd.it/14H5QL,0.5,,,2020-04-09
2023-03-27,Mamma Mia! Here We Go Again,2018,https://boxd.it/42ggBp,4.5,,musical,2020-05-03
2020-05-10,True Romance,1993,https://boxd.it/18uRS1,5,,,2020-05-10
2020-05-10,Heathers,1989,https://boxd.it/18uSQZ,5,,,2020-05-10
2023-03-21,Pump Up the Volume,1990,https://boxd.it/40PBbp,3,,,2020-05-10
2020-05-18,Boyhood,2014,https://boxd.it/19oyWv,4,,,2020-05-17
2023-03-21,Ruby Sparks,2012,https://boxd.it/40PBJB,3.5,,,2020-05-18
2020-05-20,The Half of It,2020,https://boxd.it/19H4xj,0.5,,,2020-05-20
2023-03-21,Hugo,2011,https://boxd.it/40PC5R,3.5,Yes,,2020-05-20
2023-03-27,Gone Girl,2014,https://boxd.it/42gYLX,4,,,2020-05-22
2020-05-31,Interstellar: Nolan's Odyssey,2014,https://boxd.it/1aW94P,0.5,,,2020-05-31
2023-03-21,All the Reasons to Forget,2017,https://boxd.it/40PD0j,,,,2020-05-31
2020-06-03,Taxi Driver,1976,https://boxd.it/1becCL,5,,,2020-06-03
2020-06-05,Adventures in Babysitting,1987,https://boxd.it/1bqTQF,3,,,2020-06-05
2020-06-05,Atonement,2007,https://boxd.it/1brz4t,5,,,2020-06-05
2020-06-05,The Grand Budapest Hotel,2014,https://boxd.it/1brzEr,5,,,2020-06-05
2020-06-05,Dark Shadows,2012,https://boxd.it/1brAs7,3.5,,,2020-06-05
2020-06-06,Dead Poets Society,1989,https://boxd.it/1buqL5,5,,,2020-06-05
2021-04-22,Les Misérables,2012,https://boxd.it/1OjhWH,5,,musical,2020-06-05
2023-03-27,The Phantom of the Opera,2004,https://boxd.it/42gCBh,3.5,,musical,2020-06-05
2023-03-27,Batman & Robin,1997,https://boxd.it/42gFX1,4,,,2020-06-05
2020-06-09,Parasite,2019,https://boxd.it/1bQhol,5,,,2020-06-08
2020-06-09,Catch Me If You Can,2002,https://boxd.it/1bQkf7,3.5,,,2020-06-08
2023-03-28,Empire of the Sun,1987,https://boxd.it/42zKil,4.5,,,2020-06-08
2023-03-30,Schindler's List,1993,https://boxd.it/433s5N,5,,,2020-06-08
2020-06-09,Good Will Hunting,1997,https://boxd.it/1bUAvX,5,,,2020-06-09
2020-06-09,We Bought a Zoo,2011,https://boxd.it/1bUACz,3,,,2020-06-09
2020-06-10,Life Is Beautiful,1997,https://boxd.it/1bXT0l,5,,,2020-06-09
2020-06-10,The Enigma of Kaspar Hauser,1974,https://boxd.it/1bXTn5,3.5,,,2020-06-09
2020-06-11,Happy Death Day,2017,https://boxd.it/1c3t4D,3,,,2020-06-10
2020-06-11,The Great Gatsby,2013,https://boxd.it/1c5IV7,5,,,2020-06-11
2020-06-11,Prisoners,2013,https://boxd.it/1c5L8d,4,,,2020-06-11
2020-06-11,Okja,2017,https://boxd.it/1c5LCH,1.5,,,2020-06-11
2020-06-11,Velvet Buzzsaw,2019,https://boxd.it/1c5LKh,2,,,2020-06-11
2020-06-11,Ella Enchanted,2004,https://boxd.it/1c6uRR,1.5,,,2020-06-11
2020-06-11,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1c6vrv,3.5,,musical,2020-06-11
2020-06-11,Suicide Squad,2016,https://boxd.it/1c6vxt,,,,2020-06-11
2020-06-11,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/1c6vC9,5,,,2020-06-11
2020-06-11,The Legend of Tarzan,2016,https://boxd.it/1c6vUd,2.5,,,2020-06-11
2020-06-11,Scott Pilgrim vs. the World,2010,https://boxd.it/1c6w2L,2.5,,,2020-06-11
2020-06-11,Eighth Grade,2018,https://boxd.it/1c6wlN,3,,,2020-06-11
2020-06-11,The Miseducation of Cameron Post,2018,https://boxd.it/1c6P2v,1.5,,,2020-06-11
2020-06-12,Jumanji,1995,https://boxd.it/1c9M4z,3.5,,,2020-06-11
2023-03-27,Spider-Man,2002,https://boxd.it/42ga1b,4,,,2020-06-11
2020-06-14,To All the Boys I've Loved Before,2018,https://boxd.it/1cpvTx,3,,,2020-06-14
2020-06-14,Hi Stranger,2016,https://boxd.it/1cpwuj,1.5,,,2020-06-14
2020-06-14,Batman v Superman: Dawn of Justice,2016,https://boxd.it/1cpwR3,,,,2020-06-14
2020-06-14,The Princess and the Frog,2009,https://boxd.it/1cpAef,3.5,,,2020-06-14
2020-06-14,Ghost Rider,2007,https://boxd.it/1cpBrf,2,,,2020-06-14
2020-06-14,Charlie and the Chocolate Factory,2005,https://boxd.it/1cpC05,2.5,,,2020-06-14
2020-06-15,Brooklyn,2015,https://boxd.it/1ctDNZ,3,,,2020-06-14
2020-06-15,Magic Mike,2012,https://boxd.it/1ctEj7,1.5,,,2020-06-14
2020-06-15,Transformers,2007,https://boxd.it/1ctF7L,2,,,2020-06-14
2020-06-15,Joker,2019,https://boxd.it/1cw875,3.5,,,2020-06-14
2023-03-27,(500) Days of Summer,2009,https://boxd.it/42gBsD,,,,2020-06-14
2023-03-27,Spider-Man 2,2004,https://boxd.it/42gI2n,4,,,2020-06-14
2020-06-15,Rosemary's Baby,1968,https://boxd.it/1cwZPz,5,,,2020-06-15
2020-06-15,The Exorcism of Emily Rose,2005,https://boxd.it/1cx01Z,4,,,2020-06-15
2020-06-15,Les Misérables,2012,https://boxd.it/1cy8fx,5,Yes,,2020-06-15
2020-06-15,Begin Again,2013,https://boxd.it/1cy8oT,2.5,,,2020-06-15
2020-06-15,Marriage Story,2019,https://boxd.it/1cy8Gt,4.5,,,2020-06-15
2020-06-15,Whiplash,2014,https://boxd.it/1cy8WV,4,,,2020-06-15
2020-06-17,God's Not Dead,2014,https://boxd.it/1cIuzp,1,,,2020-06-16
2020-06-17,I Spit on Your Grave 2,2013,https://boxd.it/1cJNmh,1.5,,,2020-06-17
2020-06-17,I Spit on Your Grave,2010,https://boxd.it/1cJNpl,1.5,,,2020-06-17
2020-06-17,I Spit on Your Grave III: Vengeance Is Mine,2015,https://boxd.it/1cJYR1,1.5,,,2020-06-17
2020-06-17,Unicorn Store,2017,https://boxd.it/1cKwC5,1.5,,,2020-06-17
2023-03-28,6 Years,2015,https://boxd.it/42zTMT,,,,2020-06-17
2020-06-19,Hugo,2011,https://boxd.it/1cTTL3,5,Yes,,2020-06-18
2020-06-19,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1cTU1F,2.5,,,2020-06-18
2020-06-19,American Psycho,2000,https://boxd.it/1cTUHr,4,,,2020-06-18
2020-06-23,Push,2009,https://boxd.it/1dkmx7,3.5,,,2020-06-23
2023-05-01,Peninsula,2020,https://boxd.it/4bWvIl,,,,2020-06-24
2020-06-26,Gummo,1997,https://boxd.it/1dBu9V,4,,,2020-06-26
