Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-09,franquias que eu gosto ranked,,https://boxd.it/nK2W2,"<b>insidious - </b>seletivo

<b>hellraiser - </b>não acho que seja seletivo e sim questão de MUITO bom senso

<b>elm street - </b>um pouco pessoal e seletivo também

<b>scream - </b>do menos pior para o pior

<b>paranormal activity -</b> gosto de 3 e acho que só aceito os outros

não é por ordem de gosto das franquias (mas de todas eu realmente gosto muito + de insidious)"

Position,Name,Year,URL,Description
1,Insidious: Chapter 2,2013,https://boxd.it/3dqc,
2,Insidious,2010,https://boxd.it/H4k,
3,Insidious: The Red Door,2023,https://boxd.it/mIIu,
4,Insidious: Chapter 3,2015,https://boxd.it/8BkM,
5,Insidious: The Last Key,2018,https://boxd.it/ej2C,
6,Hellraiser III: Hell on Earth,1992,https://boxd.it/1TwW,
7,Hellraiser,1987,https://boxd.it/1Zpi,
8,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,
9,Hellraiser: Hellworld,2005,https://boxd.it/1Rom,
10,Hellraiser: Evolutions,2015,https://boxd.it/oniu,
11,Hellraiser: Inferno,2000,https://boxd.it/1RCe,
12,Hellraiser: Hellseeker,2002,https://boxd.it/1Uh4,
13,Hellraiser: Bloodline,1996,https://boxd.it/1ZSk,
14,Hellraiser: Prophecy,2006,https://boxd.it/d92A,
15,Hellraiser: Deader,2005,https://boxd.it/1IEA,
16,Hellraiser: Judgment,2018,https://boxd.it/fNRC,
17,Hellraiser: Revelations,2011,https://boxd.it/2ta8,
18,Hellraiser: Origins,2013,https://boxd.it/iRAw,
19,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
20,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W,
21,New Nightmare,1994,https://boxd.it/1TsU,
22,A Nightmare on Elm Street 4: The Dream Master,1988,https://boxd.it/1X0U,
23,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/1XiE,
24,A Nightmare on Elm Street,2010,https://boxd.it/1zdg,
25,Freddy's Dead: The Final Nightmare,1991,https://boxd.it/1Uea,
26,Scream,1996,https://boxd.it/24EC,
27,Scream 4,2011,https://boxd.it/Zmc,
28,Scream 2,1997,https://boxd.it/24Es,
29,Scream VI,2023,https://boxd.it/zdfW,
30,Scream,2022,https://boxd.it/o0lg,
31,Scream 3,2000,https://boxd.it/24Ei,
32,Paranormal Activity 4,2012,https://boxd.it/2UGq,
33,Paranormal Activity 3,2011,https://boxd.it/2o4O,
34,Paranormal Activity: The Marked Ones,2014,https://boxd.it/6Ie8,
35,Paranormal Activity 2,2010,https://boxd.it/ZnO,
36,Paranormal Activity,2007,https://boxd.it/1yIM,
37,Paranormal Activity: Tokyo Night,2010,https://boxd.it/i5i,
38,Paranormal Activity: The Ghost Dimension,2015,https://boxd.it/4Ed2,
39,Paranormal Activity: Next of Kin,2021,https://boxd.it/mxqY,
