Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-06,mubi,,https://boxd.it/n9JNy,"<b>5 meses de mubi sem ecobag 🙄

(18/07 recebi!)</b>"

Position,Name,Year,URL,Description
1,A Short Story,2022,https://boxd.it/zDD6,
2,The Bones,2021,https://boxd.it/w1mq,
3,Fantastic Planet,1973,https://boxd.it/1KnQ,
4,My Life as a Zucchini,2016,https://boxd.it/dL2y,
5,Big Bang,2022,https://boxd.it/BKm6,
6,Ran,1985,https://boxd.it/1Tlu,
7,Battle Royale,2000,https://boxd.it/25zS,
8,The Elephant Man,1980,https://boxd.it/27LQ,
9,A Day in a Life,2021,https://boxd.it/uiYW,
10,Antonio das Mortes,1969,https://boxd.it/2Bcm,
11,Junkopia,1981,https://boxd.it/44LC,
12,Manufractur,1985,https://boxd.it/5vJ6,
13,The Arrival,1999,https://boxd.it/5uk0,
14,Rosa Rosae. A Spanish Civil War Elegy,2021,https://boxd.it/wGUy,
15,Dream Work,2001,https://boxd.it/4ASA,
16,Easter Eggs,2020,https://boxd.it/t2KM,
17,Blank Narcissus (Passion of the Swamp),2022,https://boxd.it/C1FO,
18,Outer Space,1999,https://boxd.it/3IOY,
19,Playback,2019,https://boxd.it/o38a,
20,Tuesday,2015,https://boxd.it/AJsU,
21,The Age of Stone,2013,https://boxd.it/67jU,
22,Desvirtude,2021,https://boxd.it/wmkq,
23,Hideous,2022,https://boxd.it/AiUs,
24,Holy Spider,2022,https://boxd.it/xBn2,
25,La Haine,1995,https://boxd.it/2as8,
26,Frank,2014,https://boxd.it/5hII,
27,Enter the Void,2009,https://boxd.it/1dy2,
28,Primer,2004,https://boxd.it/6YA,
29,Visions of Ecstasy,1989,https://boxd.it/3rXO,
30,Meeting the Man: James Baldwin in Paris,1970,https://boxd.it/oKjA,
31,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
32,Heathers,1989,https://boxd.it/26x4,
33,This Boy's Life,1993,https://boxd.it/20yg,
34,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,
35,Girl Asleep,2015,https://boxd.it/cAG6,
36,Gone Girl,2014,https://boxd.it/6hQu,
37,Sid & Nancy,1986,https://boxd.it/1N6e,
38,The Doors,1991,https://boxd.it/1W18,
39,Aloners,2021,https://boxd.it/ujeK,
40,Coffee and Cigarettes,2003,https://boxd.it/29nc,
41,Her Job,2018,https://boxd.it/jPBk,
42,Shiva Baby,2020,https://boxd.it/oIv0,
43,Newborns,2014,https://boxd.it/9cZi,
44,The Outsiders,1983,https://boxd.it/2aPw,
45,Basic Instinct,1992,https://boxd.it/2asM,
46,Women Reply,1975,https://boxd.it/5Eie,
47,Along the Coast,1958,https://boxd.it/7298,
48,Salut les Cubains,1963,https://boxd.it/4BC4,
