Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-02,NaCl (O₂+N₂+CO₂) and the Fe₂O₃ on your door,,https://boxd.it/ojuyW,agosto mais conhecido como meu mês

Position,Name,Year,URL,Description
1,Shiva Baby,2020,https://boxd.it/oIv0,
2,Paprika,2006,https://boxd.it/23wW,
3,Fireworks,2017,https://boxd.it/fjvm,
4,Die Tomorrow,2017,https://boxd.it/hAJu,
5,Daisies,1966,https://boxd.it/LZk,
6,In the Mouth of Madness,1994,https://boxd.it/26vi,
7,Watching the Detectives,2007,https://boxd.it/1B3i,
8,Kamikaze Girls,2004,https://boxd.it/1ucC,
9,Decision to Leave,2022,https://boxd.it/qp9e,
10,Safe,1995,https://boxd.it/1gKU,
11,Futuro Beach,2014,https://boxd.it/6Jcs,
12,Dead Man,1995,https://boxd.it/29h4,
13,Freaks,1932,https://boxd.it/2b3o,
14,The Tokyo Night Sky Is Always the Densest Shade of Blue,2017,https://boxd.it/fzny,
15,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,https://boxd.it/1ULy,
16,Creed,2015,https://boxd.it/a2qk,
17,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
18,The Bad and the Beautiful,1952,https://boxd.it/1h3M,
19,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,
20,Jujutsu Kaisen 0,2021,https://boxd.it/uvFS,
21,The Usual Suspects,1995,https://boxd.it/29XE,
22,Mystery Train,1989,https://boxd.it/1Ub6,
23,3 Women,1977,https://boxd.it/YPs,
24,Tale of Cinema,2005,https://boxd.it/31H6,
25,The Dark Tower,2017,https://boxd.it/bU66,
26,Voyage to the Planet of Prehistoric Women,1968,https://boxd.it/1apm,
27,Zoey 102,2023,https://boxd.it/EBrs,
28,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,
29,Les Misérables,1998,https://boxd.it/24nm,
30,Goodnight Mommy,2014,https://boxd.it/8Niy,
31,The Babadook,2014,https://boxd.it/77xu,
32,Night School,1981,https://boxd.it/v14,
33,Doctor Sleep,2019,https://boxd.it/i5vI,
34,Pet Sematary,1989,https://boxd.it/1ZBy,
35,Pet Sematary II,1992,https://boxd.it/1V6Q,
36,Secret Window,2004,https://boxd.it/28xq,
37,The Rage: Carrie 2,1999,https://boxd.it/20ZG,
38,The Crazies,2010,https://boxd.it/1nvW,
39,Hell Fest,2018,https://boxd.it/fdG4,
40,The Wizard of Oz,1939,https://boxd.it/29Xu,
41,East of Eden,1955,https://boxd.it/2aQE,
42,Pauline at the Beach,1983,https://boxd.it/1WC4,
43,Kill la Kill,2013,https://boxd.it/px0M,
44,Speed Racer,2008,https://boxd.it/20UQ,
45,Lovelace,2013,https://boxd.it/2H7W,
46,The Clown,2011,https://boxd.it/2MEc,
47,The Outsiders,1983,https://boxd.it/2aPw,
48,Newborns,2014,https://boxd.it/9cZi,
49,The Birds,1963,https://boxd.it/2a6m,
50,Women Reply,1975,https://boxd.it/5Eie,
51,Past Lives,2023,https://boxd.it/oNB8,
52,The Phantom of the Opera,1925,https://boxd.it/29bU,
53,The General,1926,https://boxd.it/29co,
54,Safety Last!,1923,https://boxd.it/1AkW,
55,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
56,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
57,Yonlu,2018,https://boxd.it/hfyg,
58,Is the Man Who Is Tall Happy?,2013,https://boxd.it/5bKo,
59,Gran Turismo,2023,https://boxd.it/B2lS,
60,The Medium,2021,https://boxd.it/s0oi,
61,You Are So Not Invited to My Bat Mitzvah,2023,https://boxd.it/BMeI,
62,Talk to Me,2022,https://boxd.it/C6uQ,
63,Inside the Mind of a Cat,2022,https://boxd.it/BV14,
64,EO,2022,https://boxd.it/txhc,
65,Depp V Heard,2023,https://boxd.it/HRGu,
