Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-24,pedinho,,https://boxd.it/hx5xO,"♡

obs: fomos de história de um casamento"

Position,Name,Year,URL,Description
1,10 Things I Hate About You,1999,https://boxd.it/23AO,
2,Fifty Shades of Grey,2015,https://boxd.it/6qLo,
3,He's All That,2021,https://boxd.it/bFbA,
4,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
5,Lady Bird,2017,https://boxd.it/dGNE,
6,The Northman,2022,https://boxd.it/nK2s,
7,OLIVIA RODRIGO: driving home 2 u (a SOUR film),2022,https://boxd.it/zrig,
8,The Black Phone,2021,https://boxd.it/sqFE,
9,Fresh,2022,https://boxd.it/tCNi,
10,Dunkirk,2017,https://boxd.it/d0Y6,
11,The Hunt,2012,https://boxd.it/3wEC,
12,Paranoia Agent,2004,https://boxd.it/lPy0,
13,365 Days,2020,https://boxd.it/oJ9O,
14,365 Days: This Day,2022,https://boxd.it/vhbc,
15,The Next 365 Days,2022,https://boxd.it/vhaS,
16,After,2019,https://boxd.it/jBb8,
17,After We Collided,2020,https://boxd.it/mGpK,
18,All Too Well: The Short Film,2021,https://boxd.it/xTmc,favorito de pedro 😆
19,Midsommar,2019,https://boxd.it/jhxe,
20,The Witch,2015,https://boxd.it/9X0m,
21,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,
22,Little Women,1994,https://boxd.it/1YiU,
23,Little Women,2019,https://boxd.it/aSVk,
24,The Menu,2022,https://boxd.it/lScm,
25,Ratatouille,2007,https://boxd.it/27ww,
26,Do Revenge,2022,https://boxd.it/sFiA,
27,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
28,Titane,2021,https://boxd.it/nlQC,
29,Terrifier 2,2022,https://boxd.it/oI10,
30,Pearl,2022,https://boxd.it/zPbe,
31,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,
32,Mamma Mia!,2008,https://boxd.it/1Tnq,
33,Carandiru,2003,https://boxd.it/209g,
34,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,
35,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,
36,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,
37,About Time,2013,https://boxd.it/43bI,
38,Hoodwinked!,2005,https://boxd.it/1UVS,
39,The First Death of Joana,2021,https://boxd.it/tzai,
40,Saturday,2019,https://boxd.it/o6jU,
41,João Bosco e Aldir Blanc - Parceria é Isso Aí!,2021,https://boxd.it/vLDA,
42,Remoinho,2020,https://boxd.it/oV2g,
43,Venom,2018,https://boxd.it/b8wA,
44,Venom: Let There Be Carnage,2021,https://boxd.it/llco,
45,Being John Malkovich,1999,https://boxd.it/2ahu,
46,Clueless,1995,https://boxd.it/1Ygk,
47,Silent Hill,2006,https://boxd.it/2a3C,
48,One Cut of the Dead,2017,https://boxd.it/iAFu,
