Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-02-03,Big Brother Brasil 21,2021,,,,,2021-02-02
2021-03-11,"Radiohead - The Numbers: Jonny, Thom & a CR78",2016,,,,,2021-03-10
2021-03-23,Blur: Live at Glastonbury '98,1998,,5,,,2021-03-23
2021-04-22,Black Cab Chaos: Anatomy of a Killer Chase,2017,,,,,2021-04-22
2021-05-03,Carta aberta à Gilberto Nogueira (...),2021,,,,,2021-05-03
2021-07-01,SOUR Prom,2021,,,,,2021-06-30
2021-07-23,Kanye West Presents a DONDA Listening Event,,,5,,,2021-07-23
2021-08-06,Kanye West Presents The Donda Album Release,,,,,,2021-08-06
2022-10-17,"The 1975 - Full Live Show - (Vevo Presents: Live at The O2, London)",2016,,5,,,2022-10-16
2023-04-03,That's Not How This Works,2023,,,,,2023-04-02
