Date,Name,Year,Letterboxd URI,Rating
2020-04-05,Swallow,2019,https://boxd.it/lA0i,5
2020-04-05,The Lighthouse,2019,https://boxd.it/icFU,5
2020-04-05,Midsommar,2019,https://boxd.it/jhxe,5
2020-04-10,How to Be Single,2016,https://boxd.it/7GJq,0.5
2020-05-10,True Romance,1993,https://boxd.it/2aBa,5
2020-05-20,The Half of It,2020,https://boxd.it/m0T4,0.5
2020-05-31,Interstellar: Nolan's Odyssey,2014,https://boxd.it/9BDG,0.5
2020-06-05,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2020-06-05,Batman Returns,1992,https://boxd.it/2awa,2
2020-06-05,Dark Shadows,2012,https://boxd.it/bQ2,3.5
2020-06-05,Les Misérables,2012,https://boxd.it/2TT4,5
2020-06-06,Dead Poets Society,1989,https://boxd.it/2aSg,5
2020-06-09,Parasite,2019,https://boxd.it/hTha,5
2020-06-09,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2020-06-09,The Imitation Game,2014,https://boxd.it/6aig,4
2020-06-09,Persona,1966,https://boxd.it/29B4,5
2020-06-09,Good Will Hunting,1997,https://boxd.it/2ahY,5
2020-06-09,The Martian,2015,https://boxd.it/8SeG,4
2020-06-09,We Bought a Zoo,2011,https://boxd.it/2AU8,3
2020-06-10,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2020-06-10,The Enigma of Kaspar Hauser,1974,https://boxd.it/1Tba,3.5
2020-06-11,Twilight,2008,https://boxd.it/1Zui,1
2020-06-11,The Craft,1996,https://boxd.it/1Zai,3
2020-06-11,The Great Gatsby,2013,https://boxd.it/JY,5
2020-06-11,Pan's Labyrinth,2006,https://boxd.it/28No,5
2020-06-11,Bram Stoker's Dracula,1992,https://boxd.it/223a,4.5
2020-06-11,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,5
2020-06-11,Nerve,2016,https://boxd.it/aJIc,2
2020-06-11,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
2020-06-11,Eighth Grade,2018,https://boxd.it/hDMG,3
2020-06-12,Jumanji,1995,https://boxd.it/1ZLI,3.5
2020-06-14,Kubo and the Two Strings,2016,https://boxd.it/a4wE,4.5
2020-06-14,Big Hero 6,2014,https://boxd.it/5rje,4
2020-06-14,Whiplash,2014,https://boxd.it/7bQA,4
2020-06-14,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,4.5
2020-06-14,Thor: The Dark World,2013,https://boxd.it/2DqA,2
2020-06-14,My Mom Is a Character,2013,https://boxd.it/66ps,3.5
2020-06-14,Monsters University,2013,https://boxd.it/bQm,3
2020-06-14,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,4.5
2020-06-14,Frances Ha,2012,https://boxd.it/41Xg,5
2020-06-14,The Amazing Spider-Man,2012,https://boxd.it/27PI,0.5
2020-06-14,The Avengers,2012,https://boxd.it/1xFW,3
2020-06-14,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,0.5
2020-06-14,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,1.5
2020-06-14,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2020-06-14,Up,2009,https://boxd.it/1OEc,3.5
2020-06-14,Bolt,2008,https://boxd.it/1QXg,3
2020-06-14,WALL·E,2008,https://boxd.it/1VEo,4
2020-06-14,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,2.5
2020-06-14,Happy Feet,2006,https://boxd.it/1XH0,0.5
2020-06-14,The Devil Wears Prada,2006,https://boxd.it/2awE,3
