Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-06-03,Taxi Driver,1976,https://boxd.it/1becCL,5,,coringa do Scorcese,,2020-06-03
2020-06-15,Whiplash,2014,https://boxd.it/1cy8WV,4,,"eu gostava mas agora me lembra do meu ex então eu odeio

bateristas eu beijaria todos vocês",,2020-06-15
2020-06-26,Gummo,1997,https://boxd.it/1dBu9V,4,,!!!,,2020-06-26
2020-07-09,"Ó Paí, Ó: Look at This",2007,https://boxd.it/1eRTpv,5,,incrível,,2020-07-08
2020-08-06,300,2006,https://boxd.it/1hPv13,4,,fala 300,,2020-08-05
2020-08-10,Normal People,2020,https://boxd.it/1ihKXn,5,,"<blockquote>“you are a good person, and I say that as someone who really knows you. just because people treat you badly at times, and I include myself in that, by the way, it doesn’t mean you deserve to be treated badly. a lot of people love you and care about you. I hope you know that”</blockquote>♡

posso fazer mil apresentações de como essa série é basicamente tudo que eu sou com elementos diferentes. assim como posso explicar de diversas maneiras como é a série mais linda e delicada já criada.

sally rooney foi gigante aqui.","eu, paul mescal",2020-08-10
2020-08-15,The Prestige,2006,https://boxd.it/1iJMkj,4,,foi mesmo,,2020-08-14
2020-09-27,The Devil All the Time,2020,https://boxd.it/1nfdw5,2,,"péssimo.
o elenco bonito escolhido especialmente pra esconder o roteiro ruim. a narração é completamente desnecessária e o arco do policial e da irmã com o marido é tão sem nexo que se não existisse não faria falta. sem falar no sotaque caipira tosco do Robert Pattinson.
só acertou no elenco e ainda usaram mal os atores.
bill carregou o filme até onde pode",,2020-09-26
2020-11-01,After,2019,https://boxd.it/1r5JWl,0.5,,"viu um pênis pela primeira vez e se apaixonou e ainda demorou metade do filme pra dar

amei pois me identifiquei!!",,2020-10-31
2020-11-03,The Last Airbender,2010,https://boxd.it/1rpDkv,5,,todas as estrelas só pro dev patel!!!!,,2020-11-03
2020-11-19,2012,2009,https://boxd.it/1sXxoN,0.5,,não satisfeito com independence day o maluco me lança um 2012,,2020-11-19
2020-11-21,Blue Is the Warmest Color,2013,https://boxd.it/1t6NTv,,,👎🏼,,2020-11-20
2020-11-24,Shawn Mendes: In Wonder,2020,https://boxd.it/1tsVrN,3,,"como fã desse homem desde o vine sinto que tenho direito de falar que esse documentário foi a prova definitiva que ele não vai parar de fazer mais do msm, por mais que tenha potencial pra fazer outras coisas. e tbm é chato pq parece que ele tá no primeiro namoro onde tem que citar a Camila a cada 2 frases. 

mds que sdds da era illuminate",,2020-11-23
2020-12-01,City of Angels,1998,https://boxd.it/1ujAqP,4,,"<blockquote><i>""I just want you to know who I am""</i></blockquote>",,2020-12-01
2020-12-01,Orphan,2009,https://boxd.it/1ujDkZ,3,,"- eu sei, eles fodem!",,2020-12-01
2020-12-02,Her,2013,https://boxd.it/1ulKmn,4.5,,pra quem não me conhece eu sou assim,,2020-12-01
2020-12-05,Memento,2000,https://boxd.it/1uHzRt,4,,sim! eu gostei de um filme do nolan,,2020-12-05
2020-12-11,Senna,2010,https://boxd.it/1voGyT,4,,vrum vrummm,,2020-12-11
2020-12-14,Flipped,2010,https://boxd.it/1vKv8J,4,,Juli merecia mais,,2020-12-14
2020-12-18,The Prom,2020,https://boxd.it/1w6mAD,0.5,,"1 - Meryl Streep em + 1 musical ✅
2 - muito gay e muito sentimental, não sabia se aceitava ou se ficava na homofobia
3 - muito james corden 🙄 eu te odeio James corden eu te odeio!!!!
4 - muita música ruim
5 - Nicole Kidman linda perfeita 

Ryan Murphy por favor nunca mais faça filmes.",,2020-12-17
2020-12-21,Killed the Family and Went to the Movies,1969,https://boxd.it/1wsoxZ,4,,"<blockquote>
<b>o pranto é livre</b>
<b>e eu vou desabafar</b></blockquote>
o cinema nacional é lindo.",,2020-12-20
2020-12-27,The Mist,2007,https://boxd.it/1xk38R,4,,eu quando não espero mais um pouco antes de agir,stephen king,2020-12-26
2021-01-01,Angel's Egg,1985,https://boxd.it/1yjCqD,5,,🥚,,2021-01-01
2021-01-02,Ghost in the Shell,1995,https://boxd.it/1ymdIt,5,,blade runner anime,,2021-01-01
2021-01-03,I Want to Eat Your Pancreas,2018,https://boxd.it/1yIbat,3,,chorando!!,,2021-01-03
2021-01-03,Attack of the Killer Tomatoes!,1978,https://boxd.it/1yIrA3,3.5,,esse é realmente muito bom,,2021-01-03
2021-01-08,The Iron Giant,1999,https://boxd.it/1zsn9z,5,,nostalgia,,2021-01-07
2021-02-16,The Blind Side,2009,https://boxd.it/1Fk8b9,1,,"-nunca tive isso
-um quarto pra você? 
-uma loira gostosa 😏",,2021-02-16
2021-02-17,Palm Springs,2020,https://boxd.it/1Foigh,4,,não ironicamente esse aqui é realmente muito bom,,2021-02-16
2021-02-18,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/1FvNQz,1,,"nunca vou perdoar o que fizeram com o john ambrose. ele era a única pessoa que merecia tratamento especial (por ser o único legal) e toda a personalidade foi simplesmente apagada e resumida a gostar da lara jean

te odeio noah centineo",,2021-02-17
2021-02-18,Before Sunrise,1995,https://boxd.it/1FB6gl,5,,agora ficarei em depressão profunda por um mês!,,2021-02-18
2021-02-19,Before Sunset,2004,https://boxd.it/1FIqM1,5,,sou ela todinha nesse oh mds,eu,2021-02-19
2021-02-20,Before Midnight,2013,https://boxd.it/1FO7eB,4,,"<blockquote><i>""If you want true love, then this is it.""</i></blockquote>",,2021-02-19
2021-02-22,The Cabinet of Dr. Caligari,1920,https://boxd.it/1G7HoZ,4,,o primeiro plot twist da história,,2021-02-21
2021-02-23,I Care a Lot,2020,https://boxd.it/1GkEJB,,,"mulheres muito gostosas em um filme muito ruim.
nada aqui faz sentido, o roteiro é cheio de furos, a personalidade das personagens é uma pior que a outra, o final é a coisa mais TOSCA E LIXOSA do mundo (não que não fosse esperado, mas é mal feito) enfim enfadonho. oh mds o tempo que perdi com esse filme e que nunca mais vai voltar.
não consigo imaginar como alguém em sã consciência tenha sido capaz de conceber algo tão ruim",,2021-02-23
2021-02-25,M8 - When Death Rescues Life,2019,https://boxd.it/1GzIbN,1,,cala a boca que eu sou uma mulher preta falando..........  tentei levar a sério😭,,2021-02-25
2021-02-26,Berserk,1997,https://boxd.it/1GEQrz,5,,"não tem um sorrisinho, um resquício de felicidade",,2021-02-25
2021-02-27,Chungking Express,1994,https://boxd.it/1GO9UX,5,,filme mais lindo do mundo,,2021-02-27
2021-02-28,Notting Hill,1999,https://boxd.it/1GT19f,3.5,,não se fazem mais comédias românticas como antigamente,,2021-02-27
2021-02-28,Dancer in the Dark,2000,https://boxd.it/1GUHLn,5,,"eu: esse é o pior filme que eu já vi
eu tbm: ★★★★★★★★★★★★★★

te amo björk // te odeio lars von trier",,2021-02-27
2021-03-02,Her,2013,https://boxd.it/1HcqHp,5,Yes,passou 1 ano e eu ainda sou assim fml,,2021-03-01
2021-03-03,A Cinderella Story,2004,https://boxd.it/1HjIBD,4,,"eu: ☺️
ela: ""waiting for you is like waiting for rain in this drought...... useless and disappointing""
eu: 😭😭😭😭😭",,2021-03-02
2021-03-03,Minari,2020,https://boxd.it/1Hm941,5,,lindo minari eu te amo lindo lindo,,2020-12-30
2021-03-05,Chemical Hearts,2020,https://boxd.it/1HCE4D,,,"<b>ponto importante: </b>as meninas em uma troca de olhares conseguiram ter mais química que eles o filme todo. 

tem que acabar com os personagens hur dur eu leio poemas sou tão diferente 🥴
é muito triste que esse filme seja muito ruim pq ele tinha tudo pra ser razoavelmente bom até. mas ele é terrivelmente <b>NÃO</b> trabalhado, parece que é feito pra passar raiva pq o que a gnt tem é: uma garota completamente traumatizada por causa do acidente e do luto e tudo que eles focam é em fazer com que ela tenha outro relacionamento quando ela claramente não tem psicológico pra isso, sem falar nessa mania de jovem achar que ser adolescente é a pior coisa do mundo, mano adolescente é dramático dms tá maluco (eu!) outro problema que incomoda são os amigos dele que tem zero profundidade, eles são literalmente inúteis, se não existissem não fariam diferença. agora a parte mais sem sentido e extremamente desrespeitosa foram eles se beijando no memorial do namorado morto mano??????¿¿¿???! minha filha tu tá instável emocionalmente vai se tratar, esse garoto é furada! chato, emocionado e um merda por surtar com vc por ainda estar de LUTO e por surtar com os pais por terem um relacionamento saudável ???vtnckkkkkkkkkkk esse garoto é o mais pau mole que eu já vi

eu admiro muito a lili reinhart por conseguir permanecer linda de cabelo preso",,2021-03-05
2021-03-07,Suspiria,2018,https://boxd.it/1HQvjH,3,,te odeio thom yorke!!!,,2021-03-06
2021-03-08,Adult World,2013,https://boxd.it/1I5JVP,1,,"eu queria matar todos os jovens poetas existentes. odeio todos.<blockquote>
""ame.
ame até odiar.
depois aprenda a odiar seu amor,
depois perdoe seu ódio por amor""</blockquote>",,2021-03-08
2021-03-09,Puparia,2020,https://boxd.it/1IdNX7,,,putaria,,2021-03-09
2021-03-18,Zack Snyder's Justice League,2021,https://boxd.it/1JnbGr,5,,"vai Scorcese, fala agora que filme de herói não é cinema",,2021-03-18
2021-03-20,2046,2004,https://boxd.it/1JDyG7,5,,ninguém sabe falar de amor como o wong kar-wai,,2021-03-20
2021-03-23,Anima,2019,https://boxd.it/1K5QpT,4,,eu gostei de algo que envolve thom yorke :(,,2021-03-23
2021-03-25,A Ghost Story,2017,https://boxd.it/1KgZwr,4,,carla diaz tomando café com namaria,,2021-03-24
2021-03-27,Fight Club,1999,https://boxd.it/1KAAiT,5,,mr robot fã deste,,2021-03-27
2021-03-28,Ready Player One,2018,https://boxd.it/1KIlMl,,,leon stevans é assim,,2021-03-27
2021-03-28,North Hollywood,2021,https://boxd.it/1KInVp,,,"mid90s parte 2 

amo skatistas beijaria todos",,2021-03-27
2021-03-29,Be Natural: The Untold Story of Alice Guy-Blaché,2018,https://boxd.it/1KTQ1H,4,,"<blockquote>""Não há nada ligado à produção de um filme que uma mulher não possa fazer como um homem. E não há motivo pelo qual ela não possa dominar cada aspecto técnico dessa arte""</blockquote>a maior que tivemos",,2021-03-29
2021-04-05,Piranha 3D,2010,https://boxd.it/1LUd1z,3,,"""JAKE, JAKE! ELAS COMERAM MEU PINTO, COMERAM O MEU BILAU''",,2021-04-04
2021-04-17,Ride or Die,2021,https://boxd.it/1Nz7vp,,,"romance lésbico dirigido por homem é o mesmo de sempre: fetichista, ofensivo e com uma quantidade absurda de cenas de nudez",,2021-04-16
2021-04-17,Flowers in the Attic,2014,https://boxd.it/1ND6s3,3,,incesto,,2021-04-17
2021-04-17,Petals on the Wind,2014,https://boxd.it/1ND6Dl,1.5,,incesto + bullying + suicídio + vingança,,2021-04-17
2021-04-17,If There Be Thorns,2015,https://boxd.it/1ND74B,0.5,,faltou um pouco de incesto nesse,,2021-04-17
2021-04-17,Seeds of Yesterday,2015,https://boxd.it/1ND8mL,2,,incesto + traição de irmão + traição no casamento + cadeirante + anticristo + incesto + quase assassinato = esse aqui foi o ápice,,2021-04-17
2021-04-18,Be My Cat: A Film for Anne,2015,https://boxd.it/1NJpLZ,4,,eu sou assim com o christian slater,,2021-04-17
2021-04-18,Pride & Prejudice,2005,https://boxd.it/1NLSrX,5,,"- tenho dado sinais sutis de que gosto dela

<b>            ***elizabeth aparece***
</b>
- não te suporto!",,2021-04-17
2021-04-20,Save Ralph,2021,https://boxd.it/1O4J31,,,taika waititi ✨,,2021-04-19
2021-04-22,Les Misérables,2012,https://boxd.it/1OjhWH,5,,eponine injustiçada eu te amo amor cuido de vc te projeto faço oq vc quiser,musical,2020-06-05
2021-04-28,Mirror,1975,https://boxd.it/1PgUOZ,5,,uiui reflexão pensamentos nostalgia,,2021-04-28
2021-04-28,The World's End,2013,https://boxd.it/1PgWT3,4,,i love one man and that one man is edgar wright,,2020-12-09
2021-04-30,Things Heard & Seen,2021,https://boxd.it/1Pw5VR,1,,"não é nem ruim de verdade, tem uns pontos tão interessantes mas por deusssss o filme parecia infinito e mesmo assim teve tanta coisa não trabalhada e não explorada, ok eu já entendi que ele é um marido, pai, pessoa horrível, agora podemos focar um pouco mais nos espíritos e nessa família??? nossa isso foi péssimo, felizmente amanda muito bonita fez valer cada cena que apareceu",,2021-04-30
2021-04-30,High School Musical 2,2007,https://boxd.it/1Pw9uv,5,,claramente o troy vivendo relações tóxicas no namoro e na amizade. ninguém apoia a inteligência do wildcat de conseguir um futuro bom fazendo pouco 😓😰😵😭😭,musical,2021-04-30
2021-05-21,Before Sunset,2004,https://boxd.it/1SkAab,5,Yes,queria amar e ser amada,eu,2021-05-21
2021-06-07,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/1UBeQV,3,,"isso aqui não é história de terror, é de amor",,2021-06-06
2021-06-12,Love Exposure,2008,https://boxd.it/1Vfr0X,3,,uma pessoa disse que no final era só ela mostrar a calcinha pra ele e isso mudou tudo pra mim.,,2021-06-11
2021-06-17,On the Beach at Night Alone,2017,https://boxd.it/1VPIVt,5,,"<blockquote>""I really miss him. Is he thinking of me too?""</blockquote>",,2021-06-16
2021-06-19,Into the Wild,2007,https://boxd.it/1W7Jth,5,Yes,"<blockquote>""But you're wrong if you think that the joy of life comes principally from human relationships.""</blockquote>quote",,2021-06-19
