Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-06-16,My Neighbor Totoro,1988,https://boxd.it/1czyNd,4.5,,,2020-06-15
2020-06-16,Nosferatu,1922,https://boxd.it/1cBlLx,3.5,,,2020-06-15
2020-06-22,The Truman Show,1998,https://boxd.it/1d9yWh,4,,,2020-06-21
2020-07-03,A Ghost Story,2017,https://boxd.it/1efQBH,4.5,,,2020-07-02
2020-07-04,Persona,1966,https://boxd.it/1eo3Dx,5,,,2020-07-03
2020-07-05,Neighboring Sounds,2012,https://boxd.it/1evgPv,4,,,2020-07-04
2020-07-07,Lost in Translation,2003,https://boxd.it/1eJmHl,3.5,,,2020-07-06
2020-07-08,Once Upon a Time in the West,1968,https://boxd.it/1eQgpJ,4.5,,,2020-07-08
2020-07-10,Frances Ha,2012,https://boxd.it/1eYWHL,3,,,2020-07-09
2020-07-10,Isle of Flowers,1989,https://boxd.it/1f1M67,4,,,2020-07-10
2020-07-11,Children of Men,2006,https://boxd.it/1f5xmx,3.5,,,2020-07-10
2020-07-12,Repulsion,1965,https://boxd.it/1ffeVj,5,,,2020-07-11
2020-07-12,The Last Portrait,2016,https://boxd.it/1ffFTf,4,,,2020-07-12
2020-07-13,Blue Velvet,1986,https://boxd.it/1fnId3,5,,,2020-07-13
2020-07-14,Aquarius,2016,https://boxd.it/1fuwJ1,5,,,2020-07-14
2020-07-15,Hour of the Wolf,1968,https://boxd.it/1fAwj5,4,,,2020-07-14
2020-07-17,No Country for Old Men,2007,https://boxd.it/1fMVyj,5,,,2020-07-17
2020-07-19,Big Fish,2003,https://boxd.it/1fZTGB,4,,,2020-07-18
2020-07-20,A Velha a Fiar,1964,https://boxd.it/1g36nN,4,,,2020-07-19
2020-07-21,The Elephant Man,1980,https://boxd.it/1gdhgN,4,,,2020-07-20
2020-07-22,True Grit,2010,https://boxd.it/1gjkTv,3.5,,,2020-07-21
2020-07-23,Wild Strawberries,1957,https://boxd.it/1gpvDb,5,,,2020-07-22
2020-07-25,Loving Vincent,2017,https://boxd.it/1gBc9b,4,,,2020-07-24
2020-07-26,Stagecoach,1939,https://boxd.it/1gHXZb,4,,,2020-07-25
2020-07-27,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/1gPsYx,4,,,2020-07-26
2020-07-29,Cries and Whispers,1972,https://boxd.it/1h2nwp,5,,,2020-07-28
2020-07-31,Frenzy,1972,https://boxd.it/1heuth,4.5,,,2020-07-30
2020-08-01,"Black God, White Devil",1964,https://boxd.it/1hiS1z,4.5,Yes,,2020-07-31
2020-08-02,Dimensions of Dialogue,1983,https://boxd.it/1hoDBp,4,,,2020-08-01
2020-08-03,There Will Be Blood,2007,https://boxd.it/1hyrrd,4.5,,,2020-08-03
2020-08-05,Back to the Future,1985,https://boxd.it/1hKIM7,4,,,2020-08-04
2020-08-06,Bitter Moon,1992,https://boxd.it/1hQAm3,3.5,,,2020-08-05
2020-08-07,Climax,2018,https://boxd.it/1hWlaD,4.5,,,2020-08-06
2020-08-08,The Skin I Live In,2011,https://boxd.it/1i2pqx,3.5,,,2020-08-07
2020-08-10,The Master,2012,https://boxd.it/1ieh0l,4,,,2020-08-09
2020-08-14,Death Proof,2007,https://boxd.it/1iGBMF,4.5,,,2020-08-13
2020-08-17,Project Power,2020,https://boxd.it/1j12rT,3,,,2020-08-16
2020-08-18,Rebecca,1940,https://boxd.it/1j89KR,4.5,,,2020-08-17
2020-08-19,The Hater,2020,https://boxd.it/1jdRCH,3.5,,,2020-08-18
2020-08-23,Jaws,1975,https://boxd.it/1jBAM9,4,,,2020-08-22
2020-08-24,Monty Python and the Holy Grail,1975,https://boxd.it/1jGg21,4,,,2020-08-23
2020-08-27,Reflections of a Blender,2010,https://boxd.it/1jYMxh,5,,,2020-08-26
2020-08-28,Rio Grande,1950,https://boxd.it/1k85qH,3.5,,,2020-08-27
2020-08-30,Full Metal Jacket,1987,https://boxd.it/1kllgz,5,,,2020-08-29
2020-08-31,GoodFellas,1990,https://boxd.it/1ktA6P,5,,,2020-08-30
2020-09-02,American Beauty,1999,https://boxd.it/1kGMCz,4,,,2020-09-01
2020-09-05,I'm Thinking of Ending Things,2020,https://boxd.it/1kYlm1,4,,,2020-09-04
2020-09-07,The Wolf of Wall Street,2013,https://boxd.it/1lewll,3.5,,,2020-09-07
2020-09-08,Sertânia,2019,https://boxd.it/1llpeL,5,,,2020-09-07
2020-09-09,The Last Temptation of Christ,1988,https://boxd.it/1ls3hd,5,,,2020-09-09
2020-09-10,John Was Trying to Contact Aliens,2020,https://boxd.it/1lvw57,3.5,,,2020-09-09
2020-09-10,Land Without Bread,1933,https://boxd.it/1lvENB,3,,,2020-09-09
2020-09-11,The Karate Kid,1984,https://boxd.it/1lAZ51,4,,,2020-09-10
2020-09-12,Onibaba,1964,https://boxd.it/1lJ5Fv,5,,,2020-09-11
2020-09-13,Killed the Family and Went to the Movies,1969,https://boxd.it/1lPNHH,4,,,2020-09-12
2020-09-15,The Social Dilemma,2020,https://boxd.it/1m2VFl,4.5,,,2020-09-14
2020-09-15,The Karate Kid Part II,1986,https://boxd.it/1m4CxV,2.5,,,2020-09-14
2020-09-16,Cuties,2020,https://boxd.it/1maLmp,2.5,,,2020-09-16
2020-09-17,The Devil All the Time,2020,https://boxd.it/1mgsVR,3.5,,,2020-09-17
2020-09-19,Elephant,2003,https://boxd.it/1mrV5x,3.5,,,2020-09-18
2020-09-20,Persona,1966,https://boxd.it/1mvPPx,5,Yes,,2020-09-19
2020-09-21,The Karate Kid Part III,1989,https://boxd.it/1mDxnh,3.5,,,2020-09-20
2020-09-24,Lady Bird,2017,https://boxd.it/1mYvqF,4,,,2020-09-23
2020-09-26,Enola Holmes,2020,https://boxd.it/1n9Cl5,2.5,,,2020-09-25
2020-09-27,Phantom Thread,2017,https://boxd.it/1ngGeV,4.5,,,2020-09-26
2020-09-29,The Post,2017,https://boxd.it/1nupex,4,,,2020-09-28
2020-10-03,Mission: Impossible,1996,https://boxd.it/1nRwsH,4.5,,,2020-10-02
2020-10-04,Necropolis Symphony,2014,https://boxd.it/1nYHiR,3.5,,,2020-10-03
2020-10-07,Bram Stoker's Dracula,1992,https://boxd.it/1okoJD,3.5,,,2020-10-07
