Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-30,Filmes favoritos 2020,,https://boxd.it/aDG7i,"A lista não está completa, podendo ser alterada a qualquer momento."

Position,Name,Year,URL,Description
1,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk,
2,First Cow,2019,https://boxd.it/krga,
3,Sertânia,2019,https://boxd.it/lUhS,
4,The Father,2020,https://boxd.it/m8Ie,
5,Da 5 Bloods,2020,https://boxd.it/lnXw,
6,Dick Johnson Is Dead,2020,https://boxd.it/oigy,
7,Palm Springs,2020,https://boxd.it/lCXQ,
8,The Invisible Man,2020,https://boxd.it/kWlA,
9,Sound of Metal,2019,https://boxd.it/i7Q4,
10,Judas and the Black Messiah,2021,https://boxd.it/lsew,
11,Promising Young Woman,2020,https://boxd.it/loRE,
12,Soul,2020,https://boxd.it/ioLA,
13,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
14,Nomadland,2020,https://boxd.it/lnRy,
15,The Life Ahead,2020,https://boxd.it/oRqS,
