Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-15,Filmes favoritos de 2019,,https://boxd.it/aSed8,

Position,Name,Year,URL,Description
1,The Lighthouse,2019,https://boxd.it/icFU,
2,The Irishman,2019,https://boxd.it/dYOq,
3,Parasite,2019,https://boxd.it/hTha,
4,Joker,2019,https://boxd.it/h4cS,
5,Pain and Glory,2019,https://boxd.it/iOBQ,
6,Bacurau,2019,https://boxd.it/fSUG,
7,Marriage Story,2019,https://boxd.it/hJAw,
8,Uncut Gems,2019,https://boxd.it/gXGc,
9,Little Women,2019,https://boxd.it/aSVk,
10,The Two Popes,2019,https://boxd.it/k8Xk,
