Date,Name,Year,Letterboxd URI,Rating
2020-06-16,Knives Out,2019,https://boxd.it/jWEA,3
2020-06-16,Parasite,2019,https://boxd.it/hTha,5
2020-06-16,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2020-06-16,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3
2020-06-16,Midsommar,2019,https://boxd.it/jhxe,3.5
2020-06-16,Nosferatu,1922,https://boxd.it/29TM,3.5
2020-06-16,City of God,2002,https://boxd.it/2a2a,5
2020-06-16,Arrival,2016,https://boxd.it/aNGk,4
2020-06-16,Roma,2018,https://boxd.it/f69M,3.5
2020-06-16,The Lighthouse,2019,https://boxd.it/icFU,5
2020-06-16,Moonlight,2016,https://boxd.it/d6bE,5
2020-06-16,Howl's Moving Castle,2004,https://boxd.it/23De,3
2020-06-16,Django Unchained,2012,https://boxd.it/2cCk,5
2020-06-19,Antonio das Mortes,1969,https://boxd.it/2Bcm,5
2020-06-19,The Irishman,2019,https://boxd.it/dYOq,5
2020-06-19,Marriage Story,2019,https://boxd.it/hJAw,4
2020-06-19,Green Book,2018,https://boxd.it/hErk,3
2020-06-19,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,4
2020-06-19,Vincent,1982,https://boxd.it/1hLa,5
2020-06-20,The Stranger,1946,https://boxd.it/1DP4,3
2020-06-20,Casino,1995,https://boxd.it/2ads,5
2020-06-20,The Godfather,1972,https://boxd.it/2aNK,5
2020-06-20,The Godfather: Part II,1974,https://boxd.it/2aNq,5
2020-06-20,Psycho,1960,https://boxd.it/2ab2,5
2020-06-20,Scarface,1983,https://boxd.it/2b7g,5
2020-06-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
2020-06-20,This Night I'll Possess Your Corpse,1967,https://boxd.it/1kj4,3.5
2020-06-20,The Second Mother,2015,https://boxd.it/9Ydm,4
2020-06-20,Elite Squad: The Enemy Within,2010,https://boxd.it/Jx4,4
2020-06-20,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2020-06-20,Gone Girl,2014,https://boxd.it/6hQu,3.5
2020-06-20,Se7en,1995,https://boxd.it/29zs,4
2020-06-20,The Flu,2013,https://boxd.it/61mo,2.5
2020-06-21,American Made,2017,https://boxd.it/bb66,3.5
2020-06-21,Hereditary,2018,https://boxd.it/hNVe,5
2020-06-21,The Strange Thing About the Johnsons,2011,https://boxd.it/56nO,3
2020-06-21,Sergio,2020,https://boxd.it/oiQ2,2.5
2020-06-22,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2020-06-22,The Dreamseller,2016,https://boxd.it/eNye,1
2020-06-22,Get Out,2017,https://boxd.it/eOCm,4.5
2020-06-24,Forrest Gump,1994,https://boxd.it/728,5
2020-06-25,The Other Side of the Wind,2018,https://boxd.it/9w5Y,3.5
2020-07-02,WHAT DID JACK DO?,2017,https://boxd.it/jcWe,3
2020-07-02,The Breakfast Club,1985,https://boxd.it/27q4,3
2020-07-03,A Ghost Story,2017,https://boxd.it/fb0K,4
2020-07-03,The Truman Show,1998,https://boxd.it/18U8,4
2020-07-04,Persona,1966,https://boxd.it/29B4,5
2020-07-05,Neighboring Sounds,2012,https://boxd.it/3nzS,4
2020-07-07,Lost in Translation,2003,https://boxd.it/2b0E,3.5
2020-07-09,Once Upon a Time in the West,1968,https://boxd.it/2az4,4.5
2020-07-10,Frances Ha,2012,https://boxd.it/41Xg,3
2020-07-10,Isle of Flowers,1989,https://boxd.it/POU,4
2020-07-11,Pain and Glory,2019,https://boxd.it/iOBQ,4
2020-07-11,Children of Men,2006,https://boxd.it/1Y2i,3.5
2020-07-11,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,1.5
2020-07-12,It,2017,https://boxd.it/bC8e,3
2020-07-12,It Chapter Two,2019,https://boxd.it/h10u,1.5
