Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-06-16,My Neighbor Totoro,1988,https://boxd.it/1czyNd,4.5,,"""Meu Amigo Totoro"" foi um filme que me encantou muito em sua parte visual com sua belíssima animação que se aproxima muito de uma pintura nas paisagens e cenários. 
 
Adoro maneira como o filme contrasta o fantasioso, vindo dos seres misteriosos da floresta como o Totoro, com a realidade, demonstrada com a mãe das crianças no hospital e toda a preocupação com o seu estado de saúde.
 
A trama inteira possui um certo tom inocente, não apenas por ser um filme infantil, mas também por ser uma narrativa do ponto de vista das crianças. Isso fica claro quando assuntos mais trágicos, como a doença da mãe, são tratados de maneira simplista e sem muitos detalhes.
 
Esse ponto de vista traz uma leveza a história, o que faz com que esse filme seja extremamente agradável de se assistir e talvez até relaxante, de certo modo.
 
O único filme que eu havia assistido do Hayao Miyazaki tinha sido o ""A Viagem de Chihiro"", que é uma aventura com um ritmo bem mais rápido. Já nessa obra aqui, Hayao traz um tom muito mais calmo, com algumas cenas bem contemplativas, abordando temas menos complexos porém de uma maneira bem sentimental.",,2020-06-15
2020-06-16,Nosferatu,1922,https://boxd.it/1cBlLx,3.5,,"Curti o estilo gótico desse filme, como ele joga com a luz e sombra para criar imagens extremamente impactantes.
 O visual do Nosferetu ainda me choca bastante, aquela ser alto, magro, com olheiras e um olhar macabro.
 Imagino a reação das pessoas ao assistir esse filme naquela época.",,2020-06-15
2020-06-22,The Truman Show,1998,https://boxd.it/1d9yWh,4,,"Reassistindo o Show de Truman consegui perceber o quanto esse filme ainda continua atual. Na verdade, é como se ele estivesse se tornando mais atual ao passar dos anos.

Se na época em que foi lançado o público possa ter achado aquele mundo muito distante da realidade, hoje em dia ele é totalmente crível. E não digo isso apenas pela evolução da tecnologia, mas também pela falta de sensibilidade e empatia que vem se demonstrando em certos grupos sociais nos últimos anos.

Um detalhe que me chamou a atenção durante o filme foi a hipocrisia daqueles expectadores ""fãs"" do programa que aparecem ao longo do filme. Ao mesmo tempo em que eles comemoram a saída de Truman do programa para a vida real, eles também deram audiência para um programa tão doentio quanto esse. E aparentemente, nenhum deles era realmente contra a realização daquele Show. Apenas estavam ansiosos para sua conclusão.",,2020-06-21
2020-07-03,A Ghost Story,2017,https://boxd.it/1efQBH,4.5,,"Um filme bem sugestivo e, de certo modo, minimalista. Aliás esse minimalismo fica claro não só na maneira como as cenas são filmadas, com pouquíssimos cortes e ação, mas também no próprio visual do fantasma.

Na minha opinião, a grande mensagem desse filme e o que o torna tão interessante é como até as coisas mais ""grandiosas"" e subjetivas como a arte se perdem em meio a passagem do tempo. Nada dura para sempre.

Me incomodou um pouco o início do filme que é excessivamente parado, com algumas cenas que realmente não me pareceram necessárias. Nem o drama entre o casal salva esse primeiro ato, mas o que vem depois faz esse filme valer a pena.",,2020-07-02
2020-07-11,Children of Men,2006,https://boxd.it/1f5xmx,3.5,,"Gostei muito da maneira como o filme utiliza cenas relativamente leves e mais ""calmas"" para logo em seguida rapidamente surpreender com umas situação super tensa. Esse recurso cria um impacto momentâneo que torna toda a cena muito mais potente.

O contexto em que a trama se insere é muito interessante e é aqui que se apresentam mais claramente algumas associações com nossa sociedade atual. Toda a questão em torno do preconceito e da xenofobia por parte dos europeus está presente na atualidade, a diferença é que o filme leva isso a um extremo que se assemelha em diversos aspectos ao que os nazistas fizeram na Alemanha.",,2020-07-10
2020-07-15,Hour of the Wolf,1968,https://boxd.it/1fAwj5,4,,"Este é o terceiro filme que assisto de Ingmar Bergman (após ""O Sétimo Selo"" e ""Persona"") e começo a perceber um aspecto em comum em seus filmes: o simbolismo.

Isso fica ainda mais evidente neste filme onde, principalmente em sua segunda metade, o surrealismo toma conta das cenas, tudo fica extremamente intenso e as imagens parecem não obdecer à uma lógica clara.

E na verdade, realmente não obedecem. Pois aqui me parece ser muito mais valorizada a sensação proposta pelo diretor do que um sentido claro dentro da trama, e isso ele conseguiu com êxito.

As cenas finais são extremamente angustiantes e bizarras, o ambiente é macabro e tudo parece ser estranhamente desconfortável. De certa forma, é como se um sonho (ou pesadelo?) estivesse sendo filmado e nós conseguíssemos assistir à tudo isso acordados.

O preto e branco ajuda muito a criar essa atmosfera, aliás me remeteu ao clássico do expressionismo alemão ""Nosferatu"" a maneira como a luz e sombra é utilizada em certas cenas para criar um visual sombrio e gótico.",,2020-07-14
2020-07-17,No Country for Old Men,2007,https://boxd.it/1fMVyj,5,,"Me surpreendeu o quão tenso esse filme consegue se tornar a cada minuto e o quão imprevisível é o rumo para o qual essa história segue. Tudo aqui é decidido ao acaso e nada parece realmente ter uma razão ou um propósito, as coisas simplesmente acontecem.

E isso na verdade diz muito a respeito de nossas vidas também, não podemos e nunca conseguiremos saber o que está por vir, tudo é uma mera questão de sorte. Da mesma maneira que jogar cara ou coroa para saber se continuará vivo.

E tudo isso potencializa em muito os acontecimentos desse filme, já que nada do que acontece era esperado. Então quando algo inusitado acontece, o espectador tende a sentir um maior impacto.

A abordagem da violência aqui é bem realista e crua, a escolha de não usar trilha sonora reforça ainda mais esse efeito.",,2020-07-17
2020-07-23,Wild Strawberries,1957,https://boxd.it/1gpvDb,5,,"O filme traz diversas reflexões sobre a vida e o envelhecimento, sobre como o tempo está a cada segundo nos perseguindo. O que me levou a pensar sobre minha própria vida e sobre o passar do tempo. Embora eu seja jovem, essa ideia de envelhecer realmente me impactou.

As duas sequências que se passam durante o sonho do protagonista sao fantásticas e nelas podemos ver novamente o simbolismo que Bergman tanto utiliza em seus filmes e também compreender um pouco mais sobre os sentimentos do personagem.

Este aqui é o meu filme favorito de Ingmar Bergman até então por me parecer o filme em que ele melhor consegue amarrar todas as suas ideias, talvez por possuir uma narrativa mais tradicional.

A sensibilidade de Bergman em abordar questões humanas e trazer reflexões profundas é realmente encantadora. Sou um grande admirador do seu trabalho.",,2020-07-22
2020-08-07,Climax,2018,https://boxd.it/1hWlaD,4.5,,"O filme não se preocupa em contar uma história e sim em trazer uma experiência alucinante e, pelo menos para mim, pertubadora ao espectador.

""Clímax"" começa com uma câmera mais parada e com cortes secos, dando uma maior ênfase à coreografia da dança e aos diálogos. Mas a partir do momento em que os personagens começam a delirar e tudo fica muito mais intenso, a câmera que antes estava parada parece dançar em meio ao caos e loucura.

A atmosfera que vai sendo construída aqui é extremamente angustiante e vai ficando cada vez mais sinistra, tudo isso devido as batidas eletronicas e aos gritos que se transformam em uma coisa só para criar uma trilha sonora insana.

Assistir a este filme me remeteu a sensação de estar submerso na água e não conseguir subir para respirar. Uma sensação desconfortável, mas que Gaspar Noé explora brilhantemente.",,2020-08-06
2020-08-14,Death Proof,2007,https://boxd.it/1iGBMF,4.5,,"Um dos meus favoritos do Tarantino, que me parece fazer um de seus trabalhos mais marcantes e únicos neste filme. Aqui ele consegue amarrar todas suas ideias e criar uma unidade dentro do filme, coisa que ele também consegue fazer excelentemente em Django Livre

Um filme muito estiloso desde a edição, que replica filmes trash atingos, até maneira como as cenas e atuações são conduzidas, cheias de erotismo, ação e humor (este que funciona excelentemente nos diálogos).

Um filme muitíssimo subestimado, que com certeza merecia mais prestígio.",,2020-08-13
