Date,Name,Year,Letterboxd URI
2020-10-23,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2020-10-23,Isle of Dogs,2018,https://boxd.it/dZrW
2020-10-23,Moonrise Kingdom,2012,https://boxd.it/2Wng
2020-10-23,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2020-10-23,Swamp Thing,1982,https://boxd.it/1HQK
2020-10-23,The Silence of the Lambs,1991,https://boxd.it/2aHW
2020-10-23,Inherent Vice,2014,https://boxd.it/5hla
2020-10-23,Hard Eight,1996,https://boxd.it/20DU
2020-10-23,Entre Nós Talvez Estejam Multidões,2020,https://boxd.it/s7mI
2020-10-23,Playing,2007,https://boxd.it/33Oe
2020-10-23,"Master, a Building in Copacabana",2002,https://boxd.it/gJK
2020-10-23,Andrei Rublev,1966,https://boxd.it/29lg
2020-10-23,"Synecdoche, New York",2008,https://boxd.it/23zw
2020-10-23,Gangs of New York,2002,https://boxd.it/25FG
2020-10-23,The Squid and the Whale,2005,https://boxd.it/1VAG
2020-12-12,Bang Bang,1971,https://boxd.it/5lb4
2020-12-12,The Herb of the Rat,2008,https://boxd.it/zsS
2020-12-14,The Age of the Earth,1980,https://boxd.it/2EAG
2020-12-24,Collective,2019,https://boxd.it/mRVi
2021-01-16,Fragile as the World,2001,https://boxd.it/dk80
2021-01-19,Killer's Kiss,1955,https://boxd.it/1Xcc
2021-02-15,Schindler's List,1993,https://boxd.it/2aq2
2021-02-17,Barren Lives,1963,https://boxd.it/29uM
2021-02-25,My Best Fiend,1999,https://boxd.it/1ZXY
2021-02-25,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2021-03-02,Cool Hand Luke,1967,https://boxd.it/29jY
2021-03-06,Hulk,2003,https://boxd.it/27PS
2021-03-17,Minari,2020,https://boxd.it/mL9M
2021-03-26,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk
2021-03-27,M,1931,https://boxd.it/29vq
2021-04-03,Satantango,1994,https://boxd.it/1j9M
2021-04-05,A Man Escaped,1956,https://boxd.it/1MzY
2021-04-05,Pickpocket,1959,https://boxd.it/29O8
2021-04-10,El Topo,1970,https://boxd.it/1QYS
2021-04-12,The Great Dictator,1940,https://boxd.it/29ic
2021-04-13,Paths of Glory,1957,https://boxd.it/29b6
2021-04-20,Nobody,2021,https://boxd.it/mLqS
